Track ID,Track Name,Album Name,Artist Name(s),Release Date,Added By,Added At,Genres,Record Label,Duration (ms),Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,,PC1,PC2,PC3
3lWe1hQG68wL7Ul19UMc7H,Down For A Get Down,Turn It Up,Josh Thompson,01/01/2014,kelley3clan,2016-12-23T05:57:56Z,country,Show Dog Universal Music,150973,25,0.582,0.864,2,-4.195,1,0.0599,0.044,0,0.391,0.604,163.828,4,,1.023687321,-0.678646937,0.897609846
46ZfPS5VpSQVU5gb82hg3K,Anything Goes,Anything Goes,Florida Georgia Line,10/14/2014,kelley3clan,2016-12-23T05:59:09Z,country,Big Machine Label Group,218866,63,0.458,0.976,0,-3.791,1,0.0459,0.00182,0,0.193,0.76,154.007,4,,-0.036310266,0.255219586,1.017846588
3ZHjQSfJ46zjFbt79MAqD2,One Of Those Nights,Two Lanes Of Freedom (Accelerated Deluxe),Tim McGraw,01/01/2013,kelley3clan,2016-12-23T05:59:20Z,country,"Big Machine Records, LLC",236520,42,0.525,0.776,7,-5.598,1,0.0321,0.0114,0,0.117,0.413,127.046,4,,-1.232919665,-0.014543571,0.31576216
6EJMBO60yYTS5YOXTqPhka,Love Triangle,Love Triangle,RaeLynn,07/11/2016,kelley3clan,2016-12-23T05:59:26Z,country,Warner Records,224533,31,0.684,0.541,2,-6.057,1,0.0329,0.152,0,0.11,0.337,132.909,4,,-1.508313006,-0.155185983,0.337915631
1HwAeValR9dJzAf8Erlv3s,Came Here to Forget,Came Here To Forget,Blake Shelton,03/08/2016,kelley3clan,2016-12-23T05:59:34Z,country,Warner Bros.,220346,0,0.613,0.664,4,-6.835,1,0.0283,0.334,1.93E-05,0.11,0.513,130.034,4,,-0.540227917,-1.772879668,0.818958979
6bZq9yf23N1xXVmNeyhDsb,Crash and Burn,Crash and Burn,Thomas Rhett,01/01/2015,kelley3clan,2016-12-23T05:59:39Z,country,"The Valory Music Co., LLC",190746,0,0.69,0.781,5,-5.104,0,0.0307,0.0881,2.10E-06,0.176,0.853,130.024,4,,-0.376044248,-0.543889986,0.345176889
2BeispT0rpKZX9RhI1H8vL,Break Up with Him,Old Dominion - EP,Old Dominion,04/06/2015,kelley3clan,2016-12-23T05:59:43Z,country,RCA Records Label Nashville,207733,0,0.615,0.65,3,-4.944,1,0.0347,0.0718,0,0.101,0.548,152.086,4,,-0.154491988,0.116692846,0.435182921
6DEaND0SHv3sC11xobZLiy,Take Your Time,Montevallo,Sam Hunt,10/24/2014,kelley3clan,2016-12-23T05:59:47Z,country,MCA Nashville,243706,66,0.558,0.719,11,-5.603,1,0.0419,0.101,0,0.212,0.483,158.031,4,,-1.609240672,0.890602471,0.84661636
0AdjJ2SaOeb5bPJ67nDbsW,From the Ground Up - Single Version,From the Ground Up,Dan + Shay,02/05/2016,kelley3clan,2016-12-23T05:59:53Z,country,Warner Records,254293,45,0.524,0.586,9,-5.431,1,0.0262,0.356,0,0.121,0.285,101.214,4,,-2.634400967,2.216267372,-0.316392732
2JO7hWJoFVNA9NgI6o9pnA,The Driver,The Driver,"Charles Kelley,Dierks Bentley,Eric Paslay",09/28/2015,kelley3clan,2016-12-23T06:00:13Z,country,UMG Nashville,276880,0,0.429,0.324,7,-7.771,1,0.0287,0.501,0,0.0796,0.144,150.096,3,,0.871919335,-0.489216854,0.05152775
0gY2iq0xJPRoIB1PScKSw4,Honey Bee,Red River Blue (Deluxe Edition),Blake Shelton,07/11/2011,kelley3clan,2016-12-23T06:00:18Z,country,Warner Records,210720,66,0.481,0.849,4,-5.131,1,0.0385,0.00167,1.49E-06,0.121,0.723,205.57,4,,-0.631845635,0.397759576,0.93343641
6hIS1u7nuJmFE12rXAPMxm,Every Storm (Runs Out Of Rain),Every Storm (Runs Out Of Rain),Gary Allan,01/01/2012,kelley3clan,2016-12-23T06:00:31Z,country,MCA Nashville,226080,45,0.535,0.723,0,-6.984,1,0.0347,0.0419,3.55E-06,0.206,0.349,107.019,4,,0.456733972,-0.170114779,-0.367646511
7aftSOGSOpSoIlVAQVBb71,Break Up In A Small Town,Montevallo,Sam Hunt,10/24/2014,kelley3clan,2016-12-23T06:00:36Z,country,MCA Nashville,229880,68,0.579,0.776,8,-5.365,1,0.173,0.0749,0,0.239,0.434,136.044,4,,0.261823843,-0.462471703,1.088463849
5CXnIPD6rTjszYYQm6fY2P,Dirt,Anything Goes,Florida Georgia Line,10/14/2014,kelley3clan,2016-12-23T06:00:40Z,country,Big Machine Label Group,230586,61,0.547,0.878,2,-4.224,1,0.0451,0.0638,7.08E-06,0.106,0.592,121.973,4,,-1.247408109,0.64213517,0.378314634
1zvQt99d5oTkEQLmSoO1yu,Mine Would Be You,Based on a True Story... (Deluxe Edition),Blake Shelton,03/26/2013,kelley3clan,2016-12-23T06:00:46Z,country,Warner Records,239506,61,0.572,0.529,0,-6.897,1,0.0282,0.146,0,0.335,0.321,139.876,4,,-2.581238748,0.668681279,-0.745378031
5kNe7PE09d6Kvw5pAsx23n,Die A Happy Man,Tangled Up,Thomas Rhett,01/01/2015,kelley3clan,2016-12-23T06:00:51Z,country,"The Valory Music Co., LLC",227426,76,0.595,0.389,2,-9.245,1,0.0349,0.418,1.39E-06,0.116,0.4,166.049,4,,0.863512868,-1.236070957,0.173014945
3wx2kQWPn9p5UppQbNhPAk,Leave The Night On,Montevallo,Sam Hunt,10/24/2014,kelley3clan,2016-12-23T06:00:56Z,country,MCA Nashville,192160,63,0.514,0.951,9,-3.813,1,0.0603,0.0951,0,0.349,0.838,171.96,4,,-2.240736673,0.804570093,0.299060146
5aj0xPGiEUN3aI2oOYu14S,I Don't Dance,I Don't Dance (Deluxe Edition),Lee Brice,09/09/2014,kelley3clan,2016-12-23T06:01:01Z,country,Curb Records,221173,67,0.587,0.559,1,-7.742,1,0.0321,0.399,6.69E-06,0.0992,0.19,92.036,4,,-0.651509537,-0.444417581,0.467354172
2byuMQoY8GFXEQ5z3GnXyW,Sure Be Cool If You Did,Sure Be Cool If You Did,Blake Shelton,01/08/2013,kelley3clan,2016-12-23T06:01:06Z,country,Warner Bros.,215720,41,0.576,0.726,11,-4.625,1,0.035,0.255,0,0.108,0.582,136.802,4,,-0.468080774,-0.503269642,0.723651897
0JCjhCdqvVQ8am5x689TL0,Gonna Wanna Tonight,Ignite the Night,Chase Rice,08/19/2014,kelley3clan,2016-12-23T06:01:11Z,country,Dack Janiels Records,213735,0,0.581,0.783,2,-6.667,1,0.0405,0.0707,0.00014,0.0875,0.604,125.948,4,,-2.785404044,2.17532518,0.102474296
3Rkk851fZjIsglV2jbBPDd,Humble And Kind,Humble And Kind,Tim McGraw,01/01/2015,kelley3clan,2016-12-23T06:01:16Z,country,"Big Machine Records, LLC",257360,0,0.349,0.486,11,-7.232,1,0.0289,0.693,1.73E-06,0.122,0.158,101.053,3,,0.3611595,0.196957773,0.389517051
4Si4sumzW5G0n9vRsGLC2X,Run Away With You,Gravity,Big & Rich,09/23/2014,kelley3clan,2016-12-23T06:01:22Z,country,"B$R Records, LLC",224960,0,0.523,0.821,6,-4.166,0,0.0471,0.128,0,0.283,0.368,147.922,4,,-0.771849045,-0.393429229,1.158951657
0p1HtkrNYxv0iDfEKwXSTp,Sangria,BRINGING BACK THE SUNSHINE,Blake Shelton,09/30/2014,kelley3clan,2016-12-23T06:01:27Z,country,Warner Records,233480,69,0.646,0.724,9,-6.96,1,0.0265,0.017,1.39E-06,0.153,0.54,115.984,4,,-0.643614663,-0.346596116,1.135225351
6E9V9TRlVOLjenGjHemzEH,Hard To Love,Hard 2 Love,Lee Brice,04/24/2012,kelley3clan,2016-12-23T06:01:30Z,country,Curb Records,224293,69,0.638,0.722,9,-6.177,1,0.0332,0.0119,0.00808,0.189,0.469,103.017,4,,0.259555584,-0.431785781,1.553267542
6s9ICeczYOfbHHIaSMq9jd,Get Your Shine On,Here's To The Good Times,Florida Georgia Line,01/01/2012,kelley3clan,2016-12-23T06:01:35Z,country,BMX,222013,60,0.497,0.927,0,-4.52,1,0.0372,0.00286,1.26E-06,0.413,0.608,96.987,4,,-2.385963159,2.318905751,0.404937754
75p6fgACKYIyIhsoG411SZ,Hey Pretty Girl,Up All Night,Kip Moore,01/01/2012,kelley3clan,2016-12-23T06:01:41Z,country,MCA Nashville,215920,58,0.291,0.4,2,-10.615,1,0.0306,0.145,1.86E-05,0.259,0.0935,83.112,1,,0.495502627,-1.111309832,0.350199307
7CL6oaDC9d0QXFMQRkNBmy,Runnin' Outta Moonlight,How Country Feels,Randy Houser,NaT,kelley3clan,2016-12-23T06:01:44Z,country,Stoney Creek Records,193573,0,0.532,0.801,2,-3.759,1,0.0393,0.0371,7.07E-06,0.0633,0.799,172.05,4,,-0.105545437,-0.370184588,0.833529593
6IFPfV8PNSYOmufzQ95hmm,Confession,Anything Goes,Florida Georgia Line,10/14/2014,kelley3clan,2016-12-23T06:01:49Z,country,Big Machine Label Group,190640,57,0.549,0.878,1,-5.066,1,0.0358,0.106,6.07E-05,0.176,0.44,104.98,4,,-0.411086765,-0.912055887,0.655534044
3PqpjQPv4ciXBsPBT6rRtm,Strip It Down,Kill The Lights,Luke Bryan,08/07/2015,kelley3clan,2016-12-23T06:02:02Z,country,Capitol Records Nashville,241666,40,0.633,0.878,9,-3.571,1,0.0451,0.379,0,0.0746,0.718,137.967,4,,-3.344952963,1.550601851,1.644836352
3fqwjXwUGN6vbzIwvyFMhx,Tennessee Whiskey,Traveller,Chris Stapleton,05/04/2015,kelley3clan,2016-12-23T06:02:06Z,country,Mercury Nashville,293293,85,0.392,0.37,9,-10.888,1,0.0298,0.205,0.0096,0.0821,0.512,48.718,4,,0.239835903,-0.285824083,0.471105872
5ix3mPn7JFsKTVoidu6dBw,Backroad Song,Remington,Granger Smith,03/04/2016,kelley3clan,2016-12-23T06:02:10Z,country,Wheelhouse Records,236786,0,0.488,0.833,11,-6.571,1,0.0437,0.0352,0.0172,0.34,0.751,174.006,4,,0.369760151,-0.831867597,1.308823633
6W9W8dSswA8KNegvl3W97V,Think of You,I'm Comin' Over,"Chris Young,Cassadee Pope",11/13/2015,kelley3clan,2016-12-23T06:02:18Z,country,RCA Records Label Nashville,218946,62,0.616,0.893,11,-3.588,1,0.0375,0.000937,0,0.111,0.567,111.959,4,,-0.295955749,0.162466798,0.450953484
4lcXNTm9JrQpJYXqsENmFI,Redneck Crazy,Redneck Crazy,Tyler Farr,09/27/2013,kelley3clan,2016-12-23T06:02:51Z,country,Columbia Nashville,216040,56,0.487,0.667,7,-4.216,0,0.0309,0.153,0,0.161,0.463,145.854,4,,-0.723239015,-0.019542652,0.360504805
39FwE8edwuyiaa4PrGBkP7,Boys 'Round Here (feat. Pistol Annies & Friends),Based on a True Story... (Deluxe Edition),"Blake Shelton,Pistol Annies",03/26/2013,kelley3clan,2016-12-23T06:03:15Z,country,Warner Records,288760,67,0.611,0.688,2,-6.369,1,0.0529,0.251,2.35E-06,0.248,0.649,169.895,4,,-0.464547217,-0.350110587,0.914565673
3y1t2sEahs8idFz2tiYNPO,Let Me See Ya Girl,Cole Swindell,Cole Swindell,02/18/2014,kelley3clan,2016-12-23T06:03:19Z,country,Warner Records,187586,54,0.523,0.834,6,-3.561,1,0.0281,0.254,0,0.393,0.445,92.99,4,,0.281560818,-0.485645457,-0.302703839
1S1u0ausWGi2msWnuQgTCY,It Goes Like This,It Goes Like This,Thomas Rhett,01/01/2013,kelley3clan,2016-12-23T06:03:24Z,country,"The Valory Music Co., LLC",186853,0,0.54,0.836,11,-5.914,1,0.0627,0.111,0,0.0874,0.55,167.957,4,,0.105001719,-0.856859139,0.383166032
