Track Name,Album Name,Artist Name(s),Release Date,Added At,Genres,Duration (ms),Popularity,Danceability,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Play Count
Blue,Layover,V,2023-09-08,2025-03-20T17:16:41Z,k-pop,149853,66,0.735,2.0,-9.529,0.0719,0.68,0.0011,0.0992,0.277,128.013,4.0,9.0
I Need U,The Most Beautiful Moment in Life Pt.1,BTS,2015-04-29,2025-03-20T17:16:41Z,k-pop,210986,70,0.478,5.0,-3.097,0.0739,0.0213,0.0,0.24,0.707,158.356,4.0,9.0
Intro: Singularity,Love Yourself 轉 'Tear',BTS,2018-05-18,2025-03-20T17:16:41Z,k-pop,196998,60,0.775,1.0,-9.126,0.091,0.56,0.00278,0.112,0.198,103.991,3.0,2.0
Intro,My Everything (Deluxe),Ariana Grande,2014-08-22,2025-03-20T17:16:41Z,pop,79840,52,0.447,6.0,-12.439,0.0324,0.968,3.83e-05,0.327,0.0959,89.601,4.0,19.0
CRAZY,CRAZY,LE SSERAFIM,2024-08-30,2025-03-20T17:16:41Z,k-pop,164554,79,0.802,11.0,-2.223,0.126,0.00953,0.000291,0.101,0.531,130.047,4.0,1.0
DNA,Love Yourself 承 'Her',BTS,2017-09-18,2025-03-20T17:16:41Z,k-pop,223122,70,0.599,1.0,-4.018,0.0543,0.0217,0.0,0.0678,0.696,129.817,4.0,7.0
CALL ME BABY,EXODUS - The 2nd Album,EXO,2015-03-30,2025-03-20T17:16:41Z,k-pop,211013,64,0.692,1.0,-2.519,0.0519,0.284,0.0,0.341,0.879,100.03,4.0,34.0
Monster,EX'ACT,EXO,2016-06-09,2025-03-20T17:16:41Z,k-pop,221341,64,0.618,6.0,-4.312,0.0596,0.0066,0.0,0.127,0.541,150.0,4.0,24.0
Pretty U,SEVENTEEN 1ST ALBUM [FIRST ‘LOVE&LETTER’],SEVENTEEN,2016-04-25,2025-03-20T17:16:41Z,k-pop,207299,64,0.642,8.0,-2.82,0.163,0.0173,0.0,0.0815,0.884,155.088,4.0,25.0
LOVE ME RIGHT,LOVE ME RIGHT - The 2nd Album Repackage,EXO,2015-06-03,2025-03-20T17:16:41Z,k-pop,205128,63,0.625,0.0,-2.33,0.0764,0.00266,0.0,0.188,0.757,110.04,4.0,28.0
아이돌 (Ideal),ZZZ,Zion.T,2018-10-15,2025-03-20T17:16:41Z,"k-rap,k-ballad",119402,38,0.853,11.0,-5.786,0.264,0.382,0.0,0.0889,0.744,75.023,4.0,11.0
Converse High,The Most Beautiful Moment in Life Pt.1,BTS,2015-04-29,2025-03-20T17:16:41Z,k-pop,209715,60,0.724,1.0,-3.982,0.0895,0.0597,0.0,0.201,0.817,98.003,4.0,7.0
What is Love?,Summer Nights,TWICE,2018-07-09,2025-03-20T17:16:41Z,k-pop,208240,73,0.574,8.0,-1.573,0.0658,0.0987,0.0,0.264,0.569,169.966,4.0,3.0
Dope,The Most Beautiful Moment in Life Pt.1,BTS,2015-04-29,2025-03-20T17:16:41Z,k-pop,240020,67,0.595,10.0,-3.109,0.245,0.0486,0.0,0.32,0.62,154.071,4.0,11.0
Blood Sweat & Tears,Wings,BTS,2016-10-10,2025-03-20T17:16:41Z,k-pop,217051,72,0.584,0.0,-3.571,0.104,0.0244,0.0,0.357,0.605,92.9,4.0,9.0
Heaven,EX'ACT,EXO,2016-06-09,2025-03-20T17:16:41Z,k-pop,225823,45,0.696,5.0,-4.212,0.181,0.0348,0.0,0.0882,0.761,91.982,4.0,18.0
VERY NICE,Love&Letter repackage album,SEVENTEEN,2016-07-04,2025-03-20T17:16:41Z,k-pop,192092,68,0.746,3.0,-2.818,0.0725,0.0526,0.0,0.0858,0.879,121.967,4.0,27.0
Miniskirt,MINISKIRT,AOA,2014-01-16,2025-03-20T17:16:41Z,k-pop,179808,70,0.758,5.0,-2.502,0.0464,0.43,0.0,0.201,0.963,119.992,4.0,5.0
PLAYBOY,EXODUS - The 2nd Album,EXO,2015-03-30,2025-03-20T17:16:41Z,k-pop,212132,51,0.529,1.0,-4.815,0.0814,0.213,0.0,0.102,0.666,79.951,4.0,25.0
Die For You,Starboy,The Weeknd,2016-11-24,2025-03-20T17:16:41Z,,260253,85,0.586,1.0,-7.163,0.0615,0.111,0.0,0.134,0.508,133.629,4.0,1.0
That's What I Like,24K Magic,Bruno Mars,2016-11-17,2025-03-20T17:16:41Z,,206693,89,0.853,1.0,-4.961,0.0406,0.013,0.0,0.0944,0.86,134.066,4.0,17.0
Dandelions,Safe Haven,Ruth B.,2017-05-05,2025-03-20T17:16:41Z,,233720,86,0.609,1.0,-2.958,0.0259,0.0157,0.0,0.0864,0.454,116.959,3.0,30.0
"jealousy, jealousy",SOUR,Olivia Rodrigo,2021-05-21,2025-03-20T17:16:41Z,,173160,80,0.695,10.0,-6.334,0.116,0.198,0.0,0.0614,0.699,163.929,4.0,9.0
HOME,MAP OF THE SOUL : PERSONA,BTS,2019-04-12,2025-03-20T17:16:41Z,k-pop,234177,67,0.633,7.0,-4.625,0.0427,0.0144,0.0,0.194,0.534,142.991,4.0,163.0
because i liked a boy,emails i can't send,Sabrina Carpenter,2022-07-15,2025-03-20T17:16:41Z,,196458,81,0.386,11.0,-7.299,0.374,0.363,0.0,0.117,0.161,146.879,4.0,47.0
this is what falling in love feels like,this is what ____ feels like (Vol. 1-4),JVKE,2022-09-23,2025-03-20T17:16:41Z,,120308,75,0.422,11.0,-5.53,0.0544,0.617,0.0,0.0837,0.332,128.934,5.0,87.0
Heaven,Heaven,CARYS,2023-12-01,2025-03-20T17:16:41Z,,145154,17,0.797,11.0,-7.815,0.0432,0.458,1.57e-06,0.231,0.631,95.986,4.0,18.0
Sexy And I Know It,Sorry For Party Rocking (Deluxe Version),LMFAO,2011-01-01,2025-03-20T17:16:41Z,,199480,64,0.708,7.0,-4.225,0.316,0.1,0.0,0.191,0.795,130.043,4.0,1.0
FREEDOM,BLUE ENCOUNT HALL TOUR 2019 apartment of SICK(S) SET LIST,BLUE ENCOUNT,2019-07-17,2025-03-20T17:16:41Z,"anime,j-rock,j-pop",239893,42,0.484,7.0,-4.013,0.069,0.000262,0.0,0.285,0.241,102.034,4.0,32.0
Prayer X,Sympa,King Gnu,2019-01-16,2025-03-20T17:16:41Z,"j-pop,anime,j-rock",195226,56,0.528,11.0,-6.006,0.28,0.419,0.0,0.181,0.542,174.112,4.0,30.0
Kaikai Kitan,Kaikai Kitan / Ao No Waltz,Eve,2020-12-23,2025-03-20T17:16:41Z,"anime,j-pop,j-rock,vocaloid,japanese indie",221426,72,0.584,5.0,-3.515,0.09,0.0119,0.0,0.119,0.606,92.502,4.0,26.0
found & lost,s p a c e [ s ],Survive Said The Prophet,2018-09-26,2025-03-20T17:16:41Z,"anime,j-rock",188960,51,0.547,1.0,-3.71,0.0783,0.000133,0.000303,0.343,0.382,104.086,4.0,30.0
