Track Name,Album Name,Artist Name(s),Release Date,Added At,Genres,Duration (ms),Popularity,Danceability,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Play Count
RED,RED,Survive Said The Prophet,2018-12-12,2025-03-21T21:22:13Z,"anime,j-rock",253893,47,0.449,5.0,-4.592,0.0351,0.0165,0.0,0.302,0.423,107.997,4.0,11.0
シンデレラ,シンデレラ,Cidergirl,2021-10-08,2025-03-21T21:22:13Z,"anime,j-pop,j-rock,japanese indie",212310,53,0.572,7.0,-2.617,0.0626,0.0141,0.0,0.315,0.717,129.981,4.0,13.0
色香水,CLOSET,Yoh kamiyama,2022-04-27,2025-03-21T21:22:13Z,"anime,j-pop,japanese indie,j-rock",251186,54,0.615,7.0,-5.811,0.0274,0.0576,0.000135,0.229,0.738,147.984,4.0,12.0
found & lost,s p a c e [ s ],Survive Said The Prophet,2018-09-26,2025-03-21T21:22:13Z,"anime,j-rock",188960,51,0.547,1.0,-3.71,0.0783,0.000133,0.000303,0.343,0.382,104.086,4.0,11.0
Hikare Inochi,Hikare Inochi,Kitri,2021-10-14,2025-03-21T21:22:13Z,anime,322146,40,0.592,2.0,-5.268,0.0311,0.319,4.66e-06,0.137,0.385,102.033,4.0,11.0
炎,炎,LiSA,2020-10-12,2025-03-21T21:22:13Z,"anime,j-pop,j-rock",275000,60,0.477,2.0,-4.554,0.0325,0.105,0.0,0.277,0.308,152.04,4.0,13.0
紅蓮華,LEO-NiNE,LiSA,2020-10-14,2025-03-21T21:22:13Z,"anime,j-pop,j-rock",237586,73,0.541,4.0,-2.828,0.157,0.00321,5.13e-05,0.0796,0.263,134.938,4.0,15.0
瞬き,TVアニメ「佐々木と宮野」オープニングテーマ「瞬き」,ミラクルチンパンジー,2022-01-26,2025-03-21T21:22:13Z,anime,240506,39,0.611,4.0,-4.683,0.0485,0.0332,0.0,0.0895,0.894,114.971,4.0,11.0
What You Need,What You Need,Ashley Sienna,2022-11-18,2025-03-21T21:22:13Z,,196470,53,0.658,4.0,-5.371,0.0382,0.00751,0.00387,0.678,0.192,101.985,4.0,6.0
Alive and Unwell,Alive and Unwell,Leah Kate,2022-10-28,2025-03-21T21:22:13Z,,121674,38,0.645,1.0,-3.675,0.044,0.00113,0.0,0.257,0.791,99.961,4.0,3.0
GODDESS,EVERGREEN,PVRIS,2023-07-14,2025-03-21T21:22:13Z,,152133,51,0.706,9.0,-4.671,0.0809,0.0143,0.00326,0.059,0.841,120.03,4.0,4.0
Nothing To Me,Nothing To Me,Jamisen,2023-01-18,2025-03-21T21:22:13Z,,170666,20,0.521,5.0,-7.725,0.0534,0.114,2.47e-06,0.123,0.456,179.839,3.0,6.0
Girl Like Me,Girl Like Me,Dove Cameron,2022-12-09,2025-03-21T21:22:13Z,,149456,53,0.711,5.0,-8.134,0.0651,0.011,0.0,0.305,0.484,125.025,4.0,23.0
BANG BANG!,BANG BANG!,Nessa Barrett,2023-02-17,2025-03-21T21:22:13Z,,136387,47,0.582,4.0,-5.365,0.183,0.00266,0.000608,0.19,0.393,174.995,4.0,13.0
Green Honda,Green Honda,BENEE,2023-02-08,2025-03-21T21:22:13Z,,166981,49,0.733,6.0,-5.621,0.0467,0.00993,0.0,0.218,0.976,136.997,4.0,14.0
HAPPY EVER AFTER,HAPPY EVER AFTER,Neoni,2023-03-17,2025-03-21T21:22:13Z,,194400,35,0.789,8.0,-5.66,0.0433,0.0271,1.96e-06,0.0934,0.578,99.971,4.0,4.0
feelings,feelings,EMELINE,2023-03-03,2025-03-21T21:22:13Z,,140598,53,0.693,11.0,-5.773,0.314,0.0322,0.0,0.353,0.783,95.042,4.0,12.0
Gorgeous Gorgeous Girls,Gorgeous Gorgeous Girls,Lilyisthatyou,2022-05-20,2025-03-21T21:22:13Z,,116909,41,0.883,9.0,-6.47,0.0474,0.11,5.33e-05,0.0799,0.684,127.024,4.0,1.0
Not Another Rockstar,Not Another Rockstar,Maisie Peters,2022-10-07,2025-03-21T21:22:13Z,,149053,54,0.658,3.0,-2.141,0.14,0.214,1.24e-06,0.126,0.818,91.041,4.0,13.0
Lego Blocks,Lego Blocks,NERIAH,2022-05-27,2025-03-21T21:22:13Z,,159493,49,0.642,9.0,-2.263,0.135,0.156,0.0,0.0804,0.507,135.128,4.0,15.0
this is how i learn to say no,this is how i learn to say no,EMELINE,2021-08-20,2025-03-21T21:22:13Z,,142965,55,0.378,10.0,-7.755,0.163,0.232,0.0,0.455,0.498,181.452,3.0,1.0
I Really F**ked It Up,I Really F**ked It Up,girli,2022-09-23,2025-03-21T21:22:13Z,,165746,53,0.619,10.0,-6.801,0.0506,0.055,0.00106,0.146,0.421,164.961,4.0,5.0
