Track Name,Album Name,Artist Name(s),Duration (ms),pop,Genres,dance,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Song Age
I Will Spend My Whole Life Loving You,All My Love,"Imaginary Future,Kina Grannis",227619,54,folk,0.636,0.129,11,-17.074,1,0.0347,0.887,0,0.0719,0.299,125.798,4,6.992470910335387
a thousand years,a thousand years,Christina Perri,285120,84,pop,0.421,0.407,10,-7.445,1,0.0267,0.309,0.000961,0.11,0.161,139.028,3,13.45927446954141
Marry Me,"Save Me, San Francisco (Golden Gate Edition)",Train,205453,64,pop,0.461,0.267,0,-8.514,1,0.0278,0.834,2.03e-05,0.107,0.481,87.918,4,14.338124572210814
I Won't Give Up,Love Is a Four Letter Word (Deluxe Edition),Jason Mraz,240165,72,pop,0.483,0.303,4,-10.058,1,0.0429,0.694,0,0.115,0.139,133.406,3,12.971937029431896
"Flightless Bird, American Mouth",The Shepherd's Dog,Iron & Wine,241917,68,indie,0.369,0.403,3,-7.996,1,0.0259,0.827,0.0541,0.106,0.177,154.899,3,17.522245037645447
i love you more than you will ever know,Harmony,Never Shout Never,153440,39,emo,0.6,0.514,0,-6.659,1,0.0258,0.452,0,0.147,0.411,105.006,4,14.611909650924025
Close To You,Us,Us The Duo,199133,15,folk,0.688,0.747,7,-6.397,0,0.0362,0.141,0.000996,0.198,0.488,139.961,4,12.799452429842573
Shallow,Shallow,The Hound + The Fox,221712,46,lullaby,0.581,0.297,7,-7.681,1,0.0354,0.251,0,0.123,0.329,95.691,4,6.228610540725531
Run Away,Sing To Me Instead,Ben Platt,217933,41,musicals,0.499,0.204,5,-9.076,1,0.0363,0.938,1.22e-06,0.108,0.371,106.902,3,6.015058179329227
Time Travel,Time Travel,Never Shout Never,337253,27,emo,0.474,0.677,0,-7.709,1,0.0415,0.0066,0,0.541,0.104,135.112,4,13.546885694729637
Rewrite The Stars (with James Arthur & Anne-Marie),Rewrite The Stars (with James Arthur & Anne-Marie),"James Arthur,Anne-Marie",218293,80,pop,0.67,0.743,10,-4.993,1,0.0393,0.237,0,0.465,0.571,125.944,4,6.439425051334703
Tightrope,The Greatest Showman (Original Motion Picture Soundtrack),Michelle Williams,234360,70,musicals,0.351,0.331,9,-10.316,1,0.0382,0.3,9.14e-06,0.0919,0.191,161.564,3,7.318275154004107
A Million Dreams,The Greatest Showman (Original Motion Picture Soundtrack),"Ziv Zaifman,Hugh Jackman,Michelle Williams",269453,75,musicals,0.265,0.312,7,-11.689,1,0.0569,0.243,0,0.0893,0.0998,54.747,3,7.318275154004107
From Now On,From Now On,Zac Brown Band,260959,50,country,0.541,0.811,3,-3.872,1,0.0342,0.114,0,0.356,0.263,110.013,4,6.379192334017796
The Greatest Show,The Greatest Show,Panic! At The Disco,174306,61,emo,0.546,0.839,6,-5.365,0,0.0784,0.00546,0,0.382,0.491,77.009,4,6.417522245037645
Never Enough,Never Enough,Kelly Clarkson,204133,52,christmas,0.398,0.512,8,-7.148,1,0.0486,0.139,0,0.115,0.0956,133.659,4,6.398357289527721
thinking of you,Inaudible,"mommy,Philanthrope,Kyle McEvoy",131000,52,lo-fi,0.798,0.0841,11,-12.673,1,0.209,0.487,0.8,0.239,0.506,160.038,4,6.365503080082136
controlla,rainy evening,Idealism,108000,57,lo-fi,0.788,0.446,6,-9.812,1,0.0693,0.54,0.694,0.273,0.545,80.033,4,7.592060232717317
Monday Loop,Harbor,Tomppabeats,91504,53,lo-fi,0.742,0.384,10,-8.533,1,0.043,0.872,0.00305,0.132,0.354,69.006,3,8.908966461327857
Fireworks,Hometown,"Nymano,Pandrezz",138000,44,lo-fi,0.558,0.31,5,-10.53,0,0.373,0.526,0.934,0.147,0.395,188.179,4,6.461327857631759
