Track Name,Album Name,Artist Name(s),Duration (ms),Popularity,Genres,dance,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Song Age
色香水,CLOSET,Yoh kamiyama,251186,54,anime,0.615,0.84,7,-5.811,1,0.0274,0.0576,0.000135,0.229,0.738,147.984,4,2.9349760438056127
Comedy,Comedy,Gen Hoshino,230666,63,anime,0.676,0.461,1,-6.746,0,0.143,0.0322,1.01e-06,0.358,0.715,87.917,4,2.9869952087611225
絆ノ奇跡,絆ノ奇跡,"MAN WITH A MISSION,milet",223320,68,anime,0.436,0.951,7,-4.748,0,0.202,0.0046,0,0.149,0.428,169.955,4,1.9822039698836413
紅蓮華,LEO-NiNE,LiSA,237586,73,anime,0.541,0.977,4,-2.828,0,0.157,0.00321,5.13e-05,0.0796,0.263,134.938,4,4.468172484599589
Cry Baby,Cry Baby,OFFICIAL HIGE DANDISM,240284,59,anime,0.318,0.902,1,-4.605,1,0.131,0.0116,0,0.393,0.437,199.844,4,3.9069130732375084
Kyouran Hey Kids!!,FIXION,THE ORAL CIGARETTES,250973,67,anime,0.526,0.981,8,-1.82,1,0.111,0.00318,0.00161,0.187,0.781,142.016,4,9.242984257357975
Goya No Machiawase,Masked Monkey Awakening,Hello Sleepwalkers,170640,57,anime,0.406,0.959,0,-3.014,1,0.0952,0.000891,0,0.327,0.571,94.277,4,11.118412046543463
シルエット,TIME,KANA-BOON,240133,72,anime,0.436,0.934,2,-2.685,1,0.0507,1.03e-05,0.14,0.321,0.384,91.481,4,10.198494182067078
Zenzenzense - movie ver.,Your Name.,RADWIMPS,285880,64,anime,0.321,0.906,11,-3.967,1,0.141,0.000439,0,0.0862,0.641,189.776,4,8.607802874743326
バイバイ YESTERDAY,バイバイ YESTERDAY,3年E組うた担(渚&茅野&業&磯貝&前原),248800,55,anime,0.591,0.945,0,-2.483,1,0.0675,0.0389,0,0.214,0.96,180.048,4,8.856947296372347
Brave Shine,DAWN,Aimer,233493,60,anime,0.38,0.889,8,-5.911,1,0.0801,0.00272,2.07e-06,0.152,0.514,171.083,4,9.681040383299111
UNFORGIVEN - Japanese ver.,UNFORGIVEN (Japanese ver.),"LE SSERAFIM,ナイル・ロジャース,Ado",182933,50,anime,0.797,0.873,4,-4.286,0,0.0591,0.121,3.63e-05,0.121,0.435,104.002,4,1.6536618754277892
A Dream (From From Up On Poppy Hill),Studio Ghibli Sleep,"Jiro Setsuko,Kantan",122939,52,anime,0.341,0.0125,4,-33.822,1,0.0574,0.985,0.955,0.108,0.0491,74.536,4,1.9411362080766599
Despair (From Despair (From Naruto Shippuden),Naruto For Sleep,Slumbering Tom,78339,51,anime,0.522,0.00444,1,-33.431,0,0.0485,0.994,0.936,0.11,0.228,96.071,4,1.377138945927447
While Cutting Tomatoes (From When Marnie Was There),Studio Ghibli Sleep,"Jiro Setsuko,Kantan",67297,51,anime,0.511,0.00702,10,-33.433,1,0.0453,0.983,0.94,0.129,0.156,125.011,4,1.9411362080766599
The Oiwa Home (From When Marnie Was There),Studio Ghibli Sleep,"Jiro Setsuko,Kantan",94864,51,anime,0.474,0.0136,8,-31.781,0,0.0507,0.97,0.932,0.11,0.238,138.071,4,1.9411362080766599
Chikatto Chika Chikattsu (From Kaguya-sama: Love Is War),Chikatto Chika Chikattsu (From Kaguya-sama: Love Is War),"Akano,Jonatan King",95140,23,anime,0.755,0.886,11,-6.384,0,0.244,0.193,1.68e-06,0.118,0.32,178.002,4,5.678302532511978
SOUVENIR,SOUVENIR,BUMP OF CHICKEN,264126,59,anime,0.622,0.94,2,-4.997,1,0.0413,0.0094,6.48e-06,0.0957,0.96,158.056,4,2.510609171800137
シンデレラ,シンデレラ,Cidergirl,212310,53,anime,0.572,0.955,7,-2.617,1,0.0626,0.0141,0,0.315,0.717,129.981,4,3.485284052019165
Hikare Inochi,Hikare Inochi,Kitri,322146,40,anime,0.592,0.769,2,-5.268,1,0.0311,0.319,4.66e-06,0.137,0.385,102.033,4,3.468856947296372
Touch You,アニメ『ヤリチン☆ビッチ部』主題歌「Touch You」,"遠野高志,加島優,矢口恭介,ジミー,百合絢斗,田村唯,明美圭一,糸目幸士郎,鹿谷樹",206180,62,anime,0.603,0.964,8,-2.886,0,0.0487,0.00655,3.04e-06,0.143,0.796,135.028,4,6.633812457221081
カワキヲアメク,カワキヲアメク,美波,251933,69,anime,0.546,0.808,6,-4.52,0,0.0536,0.0148,0.00014,0.185,0.511,129.165,4,6.1738535249828885
メインテーマ,TVアニメ『宝石の国』オリジナルサウンドトラック,藤澤慶昌,116186,39,anime,0.169,0.126,10,-14.597,1,0.0388,0.909,0.0411,0.305,0.0602,75.001,4,7.208761122518823
瞬き,TVアニメ「佐々木と宮野」オープニングテーマ「瞬き」,ミラクルチンパンジー,240506,39,anime,0.611,0.878,4,-4.683,1,0.0485,0.0332,0,0.0895,0.894,114.971,4,3.184120465434634
君のせい,Hell like Heaven,the peggies,263066,55,anime,0.39,0.986,4,-1.51,1,0.0812,0.00079,0.00704,0.304,0.557,173.998,4,6.154688569472964
残響散歌,残響散歌,Aimer,184893,67,anime,0.367,0.896,11,-4.002,1,0.091,0.000627,0,0.207,0.38,170.863,4,3.323750855578371
RED,RED,Survive Said The Prophet,253893,47,anime,0.449,0.693,5,-4.592,1,0.0351,0.0165,0,0.302,0.423,107.997,4,6.308008213552362
なんなのさ!,TVアニメ『宝石の国』オリジナルサウンドトラック,藤澤慶昌,100360,21,anime,0.81,0.151,10,-19.136,0,0.0343,0.958,0.66,0.084,0.68,92.953,4,7.208761122518823
ちょっとひと息,TVアニメ『宝石の国』オリジナルサウンドトラック,藤澤慶昌,97933,25,anime,0.579,0.467,10,-11.058,1,0.0409,0.929,0.7,0.0929,0.151,160.003,4,7.208761122518823
青のすみか,青のすみか,Tatsuya Kitani,196466,71,anime,0.479,0.898,1,-4.809,1,0.169,0.0134,0,0.297,0.639,151.99,4,1.7412731006160165
明け星,LANDER,LiSA,267346,54,anime,0.363,0.869,1,-3.477,1,0.0498,0.000255,1.5e-06,0.361,0.229,95.017,4,2.379192334017796
ADAMAS,赤い罠(who loves it?) / ADAMAS,LiSA,225000,62,anime,0.514,0.991,1,-1.768,0,0.115,0.00906,1.28e-05,0.316,0.298,95.528,4,6.308008213552362
give it back,give it back,Cö shu Nie,212476,54,anime,0.461,0.591,1,-5.838,1,0.0496,0.463,0,0.05,0.354,99.826,4,4.1943874058863795
燈,燈,Soushi Sakiyama,238720,61,anime,0.671,0.677,5,-4.849,1,0.0381,0.294,0,0.236,0.665,127.08,4,1.7412731006160165
SPECIALZ,SPECIALZ,King Gnu,238986,72,anime,0.566,0.85,6,-4.431,0,0.0599,0.0663,0,0.319,0.722,117.048,4,1.5879534565366187
一途,一途,King Gnu,190606,66,anime,0.5,0.964,2,-4.19,1,0.124,0.00723,6.2e-05,0.0557,0.662,159.971,4,3.3127994524298425
ねっこ,ねっこ,King Gnu,239728,69,anime,0.46,0.736,5,-7.09,0,0.0709,0.101,9.71e-05,0.275,0.521,94.753,4,0.4490075290896646
憧れのままに,awake＆build,"yama,Tatsuya Kitani",205973,51,anime,0.684,0.942,6,-4.14,0,0.0523,0.088,0,0.241,0.752,143.967,4,1.1909650924024642
It's a small world,Sympa,King Gnu,193893,50,anime,0.757,0.765,1,-4.205,1,0.0878,0.22,9.7e-05,0.0513,0.952,92.999,4,6.2121834360027375
YELLOW,SHIAWASE NA OTONA,Yoh kamiyama,178712,56,anime,0.786,0.719,7,-4.77,0,0.0353,0.0144,0.000638,0.0887,0.686,117.981,4,6.0013689253935665
Haru wo Tsugeru,Haru wo Tsugeru,yama,196497,59,anime,0.548,0.871,11,-5.377,1,0.123,0.0397,0,0.357,0.487,120.009,4,4.960985626283367
白日,CEREMONY,King Gnu,276373,66,anime,0.599,0.891,1,-3.242,1,0.116,0.562,0,0.322,0.694,93.029,4,5.215605749486653
カタオモイ,daydream,Aimer,207360,64,anime,0.621,0.533,1,-5.974,1,0.0342,0.78,0,0.333,0.791,96.981,4,8.531143052703628
Bling-Bang-Bang-Born,Bling-Bang-Bang-Born,Creepy Nuts,168135,78,anime,0.853,0.822,6,-6.836,0,0.246,0.0841,0.00985,0.166,0.746,157.013,4,1.2375085557837098
a.m.3:21,a.m.3:21,yama,208409,47,anime,0.634,0.736,5,-5.006,0,0.109,0.295,0.00011,0.215,0.752,110.169,4,4.640657084188912
unlasting,LEO-NiNE,LiSA,296813,56,anime,0.637,0.447,7,-5.893,0,0.0302,0.53,0,0.0977,0.343,113.256,4,4.468172484599589
麻痺,the meaning of life,yama,198040,56,anime,0.309,0.941,0,-3.558,0,0.0763,0.0587,0,0.435,0.704,100.02,4,3.592060232717317
ポラリス,Q.E.D,BLUE ENCOUNT,224213,63,anime,0.534,0.941,8,-2.561,1,0.077,0.00204,0.00615,0.102,0.573,95.008,4,4.372347707049966
逆夢,逆夢,King Gnu,307666,65,anime,0.204,0.708,1,-5.425,1,0.0458,0.442,0,0.319,0.278,83.443,4,3.274469541409993
SPARK-AGAIN,Walpurgis,Aimer,242733,54,anime,0.444,0.961,6,-3.835,0,0.112,0.000715,0.00577,0.31,0.667,90.036,4,3.975359342915811
Oz.,Versus the night,yama,195866,52,anime,0.355,0.718,7,-4.625,1,0.0353,0.0519,3.59e-06,0.382,0.44,75.742,4,2.5900068446269677
FLY HIGH!!,檸檬,BURNOUT SYNDROMES,244493,65,anime,0.475,0.961,11,-1.434,1,0.0705,0.0132,0,0.331,0.355,94.466,4,8.396988364134154
Catch the Moment,LiTTLE DEViL PARADE,LiSA,282626,57,anime,0.401,0.978,7,-1.875,1,0.147,0.0578,1.87e-06,0.331,0.446,190.083,4,7.860369609856263
Rising Hope,Launcher,LiSA,251213,55,anime,0.547,0.978,8,-2.732,1,0.254,0.0626,0,0.0735,0.647,94.703,4,10.08350444900753
だってアタシのヒーロー。,だってアタシのヒーロー。,LiSA,234093,53,anime,0.394,0.99,10,-0.589,0,0.188,0.0365,0,0.174,0.269,188.954,4,7.668720054757015
BOY,THE GREATEST UNKNOWN,King Gnu,234733,56,anime,0.627,0.806,0,-6.377,1,0.0496,0.0954,0,0.331,0.571,110.006,4,1.3442847364818618
朝が来る,朝が来る,Aimer,294933,48,anime,0.335,0.92,1,-4.086,1,0.0986,0.00118,0,0.354,0.246,83.117,4,3.2279260780287475
センチメートル,The GARDEN,the peggies,227013,57,anime,0.564,0.922,2,-2.303,1,0.0368,0.00198,5.03e-06,0.231,0.828,139.962,4,3.4524298425735798
Grand Escape (feat. Toko Miura),Weathering With You -Complete Version-,"RADWIMPS,Toko Miura",339160,58,anime,0.566,0.534,4,-7.414,1,0.0356,0.243,8.28e-05,0.116,0.4,146.033,4,5.349760438056126
足跡,The GARDEN,the peggies,227640,51,anime,0.387,0.799,9,-2.189,1,0.0369,0.000923,1.07e-05,0.0891,0.784,163.936,4,3.4524298425735798
スターマーカー,スターマーカー,KANA-BOON,213433,45,anime,0.498,0.846,4,-3.196,1,0.0419,0.019,0,0.302,0.764,133.955,4,5.169062286105407
恋愛サーキュレーション,Utamonogatari Special Edition (Original Soundtrack),物語シリーズ,255040,65,anime,0.814,0.785,1,-5.679,0,0.0396,0.0524,0.00111,0.111,0.941,120.009,4,6.417522245037645
oath sign,LOVERSMiLE,LiSA,250800,53,anime,0.528,0.935,6,-1.114,0,0.0678,0.0705,0,0.326,0.55,152.06,4,13.111567419575634
往け,往け,LiSA,228266,49,anime,0.56,0.952,1,-2.579,0,0.162,0.135,0,0.162,0.689,89.872,4,3.466119097
告白バンジージャンプ,告白バンジージャンプ,halca,251866,38,anime,0.539,0.862,7,-2.25,1,0.045,0.0135,6.38e-06,0.109,0.682,92.623,3,4.583162217659138
Black Rover,wizard,VK Blanka,209573,65,anime,0.593,0.934,11,-4.967,1,0.044,0.00128,1.21e-05,0.188,0.537,102.065,4,6.365503080082136
Merry-Go-Round,Merry-Go-Round,MAN WITH A MISSION,243810,52,anime,0.591,0.914,5,-5.617,0,0.0737,0.00267,0,0.0801,0.451,119.971,4,3.7125256673511293
Dark Crow,Dark Crow,MAN WITH A MISSION,278186,55,anime,0.537,0.944,7,-4.406,1,0.0988,0.00634,0,0.0233,0.36,148.019,4,5.472963723
アメヲマツ、,アメヲマツ、,美波,294161,54,anime,0.561,0.872,10,-5.811,1,0.0418,0.214,0,0.151,0.26,149.936,4,4.755646817
REALiZE,REALiZE,LiSA,190481,53,anime,0.483,0.97,7,-2.334,0,0.356,0.0013,0,0.308,0.374,149.842,4,1.8042436687200547
FightSong,FightSong,Eve,208964,55,anime,0.507,0.966,6,-4.046,1,0.0952,0.000382,1.26e-06,0.349,0.752,125.913,4,2.2642026009582477
Dream lantern,Your Name.,RADWIMPS,131666,64,anime,0.206,0.871,8,-5.751,1,0.419,0.0316,6.55e-05,0.0596,0.125,175.6,3,8.607802874743326
白銀,白銀,LiSA,264666,43,anime,0.485,0.888,11,-3.326,1,0.0489,0.00277,1.16e-06,0.373,0.282,142.983,4,3.381245722108145
シルシ,Launcher,LiSA,288253,51,anime,0.552,0.766,8,-4.117,1,0.0536,0.46,0,0.0941,0.472,145.991,4,10.08350444900753
洗脳,洗脳,LiSA,171136,39,anime,0.563,0.964,1,-3.21,1,0.123,0.00151,0.0024,0.078,0.313,93.449,4,0.6160164271047228
瞬間最大風速,瞬間最大風速,halca,208000,23,anime,0.417,0.963,6,-1.744,1,0.0803,0.00508,8.76e-06,0.364,0.447,173.982,4,0.4736481861738535
QUEEN,QUEEN,LiSA,187908,60,anime,0.532,0.961,1,-3.962,1,0.116,0.00281,2.67e-05,0.318,0.431,140,4,0.47091033538672145
Same Blue,Same Blue,OFFICIAL HIGE DANDISM,237836,59,anime,0.496,0.948,5,-5.788,0,0.0816,0.0155,0,0.11,0.158,92.026,3,0.5010266940451745
disguise doesn't lose,SPY x FAMILY CODE: White (Original Motion Picture Soundtrack),(K)NoW_NAME,63500,4,anime,0.143,0.648,0,-7.21,0,0.0705,0.00219,0.696,0.202,0.173,172.694,4,1.2867898699520877
SUN,dance,Gen Hoshino,241466,44,anime,0.782,0.684,1,-5.774,1,0.0398,0.021,0,0.125,0.858,108.171,4,9.336071184120465
Again from Your Lie in April,Again from Your Lie in April,Theishter,174000,40,anime,0.435,0.157,6,-19.866,1,0.0384,0.993,0.913,0.124,0.0395,92.637,4,4.224503764544832
School road,Your Name.,RADWIMPS,68200,45,anime,0.532,0.342,0,-8.153,1,0.0923,0.515,0.228,0.127,0.239,199.743,4,8.607802874743326
Itomori high school,Your Name.,RADWIMPS,111560,46,anime,0.786,0.0775,9,-13.94,1,0.0965,0.993,0.846,0.115,0.72,143.089,3,8.607802874743326
First view of tokyo,Your Name.,RADWIMPS,79800,45,anime,0.238,0.389,2,-9.536,1,0.04,0.877,0.888,0.154,0.0736,78.548,4,8.607802874743326
Cafe at last,Your Name.,RADWIMPS,92226,41,anime,0.638,0.576,7,-7.185,1,0.0357,0.434,0.0344,0.128,0.907,177.07,4,8.607802874743326
Theme of Mitsuha,Your Name.,RADWIMPS,246146,53,anime,0.615,0.152,0,-17.208,1,0.0583,0.987,0.906,0.111,0.251,123.701,4,8.607802874743326
Unusual changes of two,Your Name.,RADWIMPS,156746,39,anime,0.606,0.812,7,-5.543,1,0.0314,0.000399,0.686,0.152,0.855,134.121,4,8.607802874743326
