ts,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name
2020-05-23T21:04:25Z,Sunkissed,khai dreams,Now and Then
2020-05-23T21:06:16Z,UWU,Chevy,UWU
2020-05-23T21:08:53Z,Happy - EP Version,Never Shout Never,The Summer EP
2020-05-23T21:11:57Z,Lemonade,Jeremy Passion,Thankful
2020-05-23T21:14:57Z,No Matter Where You Are,Us The Duo,No Matter Where You Are
2020-05-23T21:19:13Z,I'm Yours,Jason Mraz,We Sing. We Dance. We Steal Things.
2020-05-23T21:21:42Z,I Do Adore,Mindy Gledhill,Anchor
2020-05-23T21:25:38Z,Sugar,Maroon 5,V
2020-05-23T22:07:04Z,What is Love,TWICE,Summer Nights
2020-05-23T22:45:05Z,What is Love,TWICE,Summer Nights
2020-05-23T22:48:20Z,La Da Dee,Cody Simpson,Surfers Paradise (Expanded)
2020-05-23T22:50:50Z,If I Can't Have You,Shawn Mendes,If I Can't Have You
2020-05-23T22:51:39Z,If I Can't Have You,Shawn Mendes,If I Can't Have You
2020-05-23T22:54:37Z,Your Soul,Forrest.,Warm
2020-05-23T22:58:18Z,Lovebug,Jonas Brothers,A Little Bit Longer
2020-05-23T23:02:10Z,Wake Me Up Before You Go-Go,Wham!,Make It Big
2020-05-23T23:05:10Z,Me & You,Stereo Skyline,Stuck On Repeat
2020-05-23T23:08:40Z,the snack that smiles back (feat. raychel jay),Shawn Wasabi,the snack that smiles back (feat. raychel jay)
2020-05-23T23:11:21Z,"Bubblegum K.K. (From ""Animal Crossing: New Leaf"")",Qumu,"Bubblegum K.K. (From ""Animal Crossing: New Leaf"")"
2020-05-23T23:11:31Z,The Cuppycake Song,Amy Castle,Balloons (Songs to Delight the Imagination of Children & Parents)
2020-05-23T23:13:19Z,you mean the whole wide world to me,Christina Perri,you mean the whole wide world to me
2020-05-23T23:16:17Z,Beautiful,Bazzi,COSMIC
2020-05-23T23:19:09Z,Sunny Side Up,Surfaces,Horizons
2020-05-23T23:24:13Z,Mr. Blue Sky,Electric Light Orchestra,Out of the Blue
2020-05-23T23:26:39Z,Trouble,Never Shout Never,Me and My Uke
2020-05-23T23:29:50Z,Let's Fall in Love for the Night,FINNEAS,Let’s Fall In Love For The Night
2020-05-23T23:33:43Z,Falling In Love,Us The Duo,No Matter Where You Are
2020-05-23T23:36:44Z,Lost in the Woods,Jonathan Groff,Frozen 2 - Original Motion Picture Soundtrack/Deluxe Edition
2020-05-23T23:36:57Z,Sad Song (feat. Elena Coats),We The Kings,Somewhere Somehow
2020-05-23T23:36:58Z,All of Me,John Legend,Love In The Future (Expanded Edition)
2020-05-23T23:39:45Z,"Sugar, Sugar",The Archies,"The Very Best Of ""The Archies"""
2020-05-23T23:42:38Z,SUGA SWEET,FAKY,SUGA SWEET
2020-05-23T23:45:32Z,Ice Cream Girl,tobi lou,Live on Ice
2020-05-23T23:45:42Z,Mine,Bazzi,COSMIC
2020-05-23T23:48:35Z,Indigo,88rising,Head In The Clouds II
2020-05-23T23:50:59Z,HOME RUN (feat. raychel jay),Shawn Wasabi,HOME RUN (feat. raychel jay)
2020-05-23T23:54:54Z,Perfect Two,Auburn,Perfect Two
2020-05-23T23:58:29Z,Beautiful Soul,Jesse McCartney,Beautiful Soul
2020-05-24T00:01:50Z,Better Together,Us The Duo,Better Together
2020-05-24T00:05:21Z,Say You Won't Let Go,James Arthur,Back from the Edge
2020-05-24T00:08:42Z,Rhythm Of Love,Plain White T's,Wonders Of The Younger
2020-05-25T22:46:09Z,Nine in the Afternoon,Panic! At The Disco,Pretty. Odd.
2020-05-25T22:47:58Z,Nine in the Afternoon,Panic! At The Disco,Pretty. Odd.
2020-05-25T22:51:19Z,What Makes You Beautiful,One Direction,Up All Night
2020-05-25T22:54:31Z,Stupid for You,Waterparks,Double Dare
2020-05-25T22:58:06Z,Like Ooh-Ahh,TWICE,The Story Begins
2020-05-25T22:59:27Z,What I've Been Looking For (Reprise),Troy,High School Musical
2020-05-25T23:02:39Z,Lucky,Jason Mraz,We Sing. We Dance. We Steal Things.
2020-05-25T23:05:58Z,"1, 2, 3, 4",Plain White T's,Big Bad World
2020-05-25T23:09:15Z,Bubbly,Colbie Caillat,Coco
2020-05-25T23:13:02Z,Get This Right - Outtake,Jonathan Groff,Frozen 2 - Original Motion Picture Soundtrack/Deluxe Edition
2020-05-25T23:15:38Z,I Love You Too Much,Gustavo Santaolalla,The Book of Life (Original Motion Picture Soundtrack)
2020-05-25T23:16:36Z,Can't Help Falling In Love,Kina Grannis,Crazy Rich Asians (Original Motion Picture Soundtrack)
2020-05-26T18:20:47Z,Isn't She Lovely,Stevie Wonder,The Definitive Collection
2020-05-26T18:22:50Z,Isn't She Lovely,Stevie Wonder,The Definitive Collection
2020-05-26T18:26:16Z,Missin' You Like Crazy,Us The Duo,Us
2020-05-26T18:29:28Z,Lucky,Jason Mraz,We Sing. We Dance. We Steal Things.
2020-05-26T18:31:35Z,Sunkissed,khai dreams,Now and Then
2020-05-26T18:32:01Z,If I Could Tell Her,Ben Platt,Dear Evan Hansen (Original Broadway Cast Recording)
2020-05-26T18:33:50Z,UWU,Chevy,UWU
2020-05-26T18:36:26Z,Happy - EP Version,Never Shout Never,The Summer EP
2020-05-26T18:39:31Z,Lemonade,Jeremy Passion,Thankful
2020-05-26T18:42:30Z,No Matter Where You Are,Us The Duo,No Matter Where You Are
2020-05-26T18:46:33Z,I'm Yours,Jason Mraz,We Sing. We Dance. We Steal Things.
2020-05-26T18:49:02Z,I Do Adore,Mindy Gledhill,Anchor
2020-05-26T18:52:59Z,Sugar,Maroon 5,V
2020-05-26T18:56:27Z,What is Love,TWICE,Summer Nights
2020-05-26T18:59:45Z,La Da Dee,Cody Simpson,Surfers Paradise (Expanded)
2020-05-26T19:02:56Z,If I Can't Have You,Shawn Mendes,If I Can't Have You
2020-05-26T19:05:55Z,Your Soul,Forrest.,Warm
2020-05-26T19:09:36Z,Lovebug,Jonas Brothers,A Little Bit Longer
2020-05-26T19:13:28Z,Wake Me Up Before You Go-Go,Wham!,Make It Big
2020-05-27T16:25:12Z,Me & You,Stereo Skyline,Stuck On Repeat
2020-05-27T16:26:30Z,Underwater,Cody Simpson,Wave Two
2020-05-27T16:30:48Z,Livin' Easy,Cody Simpson,Free
