ts,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name
2020-05-27T16:31:25Z,Banana Pancakes,Jack Johnson,In Between Dreams
2020-05-27T16:34:35Z,Lucky,Jason Mraz,We Sing. We Dance. We Steal Things.
2020-05-27T16:38:59Z,Grow as We Go,Ben Platt,Sing To Me Instead
2020-05-27T16:38:59Z,Can't Help Falling in Love,Haley Reinhart,Better
2020-05-27T16:39:32Z,Favorite T-Shirt - Acoustic,Jake Scott,Favorite T-Shirt
2020-05-27T16:43:02Z,Love Her,Jonas Brothers,Happiness Begins
2020-05-27T16:43:09Z,I'm Yours,Jason Mraz,We Sing. We Dance. We Steal Things.
2020-05-27T16:43:11Z,Sunkissed,khai dreams,Now and Then
2020-05-27T16:46:37Z,Crazy Beautiful,Andy Grammer,Crazy Beautiful EP
2020-05-27T16:46:46Z,Our First Song,Joseph Vincent,Our First Song
2020-05-27T16:51:03Z,Sunkissed,khai dreams,Now and Then
2020-05-27T16:52:03Z,UWU,Chevy,UWU
2020-05-27T16:52:03Z,Happy - EP Version,Never Shout Never,The Summer EP
2020-05-27T16:52:03Z,Lemonade,Jeremy Passion,Thankful
2020-05-27T16:52:03Z,Happy - EP Version,Never Shout Never,The Summer EP
2020-05-27T16:55:34Z,Lemonade,Jeremy Passion,Thankful
2020-05-27T16:55:34Z,Lemonade,Jeremy Passion,Thankful
2020-05-27T16:58:05Z,No Matter Where You Are,Us The Duo,No Matter Where You Are
2020-05-27T17:02:08Z,I'm Yours,Jason Mraz,We Sing. We Dance. We Steal Things.
2020-05-29T17:45:19Z,I Do Adore,Mindy Gledhill,Anchor
2020-05-29T17:47:10Z,I Do Adore,Mindy Gledhill,Anchor
2020-05-29T17:47:25Z,Sugar,Maroon 5,V
2020-05-29T17:50:52Z,What is Love,TWICE,Summer Nights
2020-05-29T17:54:09Z,La Da Dee,Cody Simpson,Surfers Paradise (Expanded)
2020-05-29T17:57:20Z,If I Can't Have You,Shawn Mendes,If I Can't Have You
2020-05-29T18:00:19Z,Your Soul,Forrest.,Warm
2020-05-29T18:04:00Z,Lovebug,Jonas Brothers,A Little Bit Longer
2020-05-29T18:07:52Z,Wake Me Up Before You Go-Go,Wham!,Make It Big
2020-05-29T18:10:52Z,Me & You,Stereo Skyline,Stuck On Repeat
2020-05-29T18:14:22Z,the snack that smiles back (feat. raychel jay),Shawn Wasabi,the snack that smiles back (feat. raychel jay)
2020-05-29T18:17:01Z,"Bubblegum K.K. (From ""Animal Crossing: New Leaf"")",Qumu,"Bubblegum K.K. (From ""Animal Crossing: New Leaf"")"
2020-05-29T18:17:10Z,The Cuppycake Song,Amy Castle,Balloons (Songs to Delight the Imagination of Children & Parents)
2020-05-29T18:18:58Z,you mean the whole wide world to me,Christina Perri,you mean the whole wide world to me
2020-05-29T18:21:56Z,Beautiful,Bazzi,COSMIC
2020-05-29T18:24:48Z,Sunny Side Up,Surfaces,Horizons
2020-05-29T18:29:52Z,Mr. Blue Sky,Electric Light Orchestra,Out of the Blue
2020-05-29T18:32:18Z,Trouble,Never Shout Never,Me and My Uke
2020-05-29T18:35:29Z,Let's Fall in Love for the Night,FINNEAS,Let’s Fall In Love For The Night
2020-05-29T18:39:19Z,Falling In Love,Us The Duo,No Matter Where You Are
2020-05-29T18:42:20Z,Lost in the Woods,Jonathan Groff,Frozen 2 - Original Motion Picture Soundtrack/Deluxe Edition
2020-05-29T18:43:48Z,Sad Song (feat. Elena Coats),We The Kings,Somewhere Somehow
2020-05-29T18:43:49Z,All of Me,John Legend,Love In The Future (Expanded Edition)
2020-05-29T18:46:36Z,"Sugar, Sugar",The Archies,"The Very Best Of ""The Archies"""
2020-05-29T18:49:29Z,SUGA SWEET,FAKY,SUGA SWEET
2020-05-29T18:52:22Z,Ice Cream Girl,tobi lou,Live on Ice
2020-05-29T18:54:34Z,Mine,Bazzi,COSMIC
2020-05-29T18:57:28Z,Indigo,88rising,Head In The Clouds II
2020-05-29T18:59:52Z,HOME RUN (feat. raychel jay),Shawn Wasabi,HOME RUN (feat. raychel jay)
2020-05-29T19:03:46Z,Perfect Two,Auburn,Perfect Two
2020-05-29T19:07:24Z,Beautiful Soul,Jesse McCartney,Beautiful Soul
2020-05-29T19:10:45Z,Better Together,Us The Duo,Better Together
2020-05-29T19:10:58Z,Say You Won't Let Go,James Arthur,Back from the Edge
2020-05-29T19:14:17Z,Rhythm Of Love,Plain White T's,Wonders Of The Younger
2020-05-29T19:17:30Z,Nine in the Afternoon,Panic! At The Disco,Pretty. Odd.
2020-05-29T19:20:51Z,What Makes You Beautiful,One Direction,Up All Night
2020-05-30T13:06:18Z,Stupid for You,Waterparks,Double Dare
2020-05-30T13:08:18Z,Stupid for You,Waterparks,Double Dare
2020-05-30T13:11:54Z,Like Ooh-Ahh,TWICE,The Story Begins
2020-05-30T13:13:14Z,What I've Been Looking For (Reprise),Troy,High School Musical
2020-05-30T13:16:26Z,Lucky,Jason Mraz,We Sing. We Dance. We Steal Things.
2020-05-30T13:19:45Z,"1, 2, 3, 4",Plain White T's,Big Bad World
2020-05-30T13:23:01Z,Bubbly,Colbie Caillat,Coco
2020-05-30T13:26:49Z,Get This Right - Outtake,Jonathan Groff,Frozen 2 - Original Motion Picture Soundtrack/Deluxe Edition
2020-05-30T13:29:25Z,I Love You Too Much,Gustavo Santaolalla,The Book of Life (Original Motion Picture Soundtrack)
2020-05-30T13:30:27Z,Can't Help Falling In Love,Kina Grannis,Crazy Rich Asians (Original Motion Picture Soundtrack)
2020-05-30T13:43:07Z,Isn't She Lovely,Stevie Wonder,The Definitive Collection
2020-05-30T13:46:09Z,Absolutely Smitten,dodie,Intertwined - EP
2020-05-30T13:49:36Z,Missin' You Like Crazy,Us The Duo,Us
2020-05-30T13:52:54Z,"1, 2, 3, 4",Plain White T's,Big Bad World
2020-05-30T13:57:03Z,If I Could Tell Her,Ben Platt,Dear Evan Hansen (Original Broadway Cast Recording)
2020-05-30T13:58:57Z,All About Your Heart,Mindy Gledhill,Anchor
2020-05-30T13:59:11Z,If You're the Coffee,The Arcadian Wild,The Arcadian Wild
2020-05-30T14:02:36Z,Missin' You Like Crazy,Us The Duo,Us
2020-05-30T14:06:03Z,Heregoesnothin,Never Shout Never,The Yippee EP
2020-05-30T14:10:55Z,Moon River,JJ Heller,I Dream of You: CALM
2020-05-30T14:14:34Z,You,A Great Big World,You
2020-05-30T14:16:23Z,you mean the whole wide world to me,Christina Perri,you mean the whole wide world to me
2020-05-30T14:19:49Z,Crazy Beautiful,Andy Grammer,Crazy Beautiful EP
2020-05-30T14:22:18Z,Why,Bazzi,COSMIC
2020-05-30T14:26:41Z,Bad Habit,Ben Platt,Sing To Me Instead
2020-05-30T14:29:43Z,It Don't Matter (feat. Donavon Frankenreiter),Cody Simpson,Free
2020-05-30T14:33:02Z,Rhythm Of Love,Plain White T's,Wonders Of The Younger
2020-05-30T17:43:04Z,Falling In Love,Us The Duo,No Matter Where You Are
2020-05-30T17:45:16Z,Sunkissed,khai dreams,Now and Then
2020-05-30T17:47:07Z,UWU,Chevy,UWU
2020-05-30T17:49:43Z,Happy - EP Version,Never Shout Never,The Summer EP
2020-05-30T17:52:48Z,Lemonade,Jeremy Passion,Thankful
2020-05-30T17:55:47Z,No Matter Where You Are,Us The Duo,No Matter Where You Are
2020-05-30T17:59:50Z,I'm Yours,Jason Mraz,We Sing. We Dance. We Steal Things.
2020-05-30T18:02:19Z,I Do Adore,Mindy Gledhill,Anchor
2020-05-30T18:06:15Z,Sugar,Maroon 5,V
2020-05-30T18:09:45Z,What is Love,TWICE,Summer Nights
2020-05-30T18:13:03Z,La Da Dee,Cody Simpson,Surfers Paradise (Expanded)
2020-05-30T18:16:13Z,If I Can't Have You,Shawn Mendes,If I Can't Have You
2020-05-30T18:19:12Z,Your Soul,Forrest.,Warm
2020-05-30T18:22:53Z,Lovebug,Jonas Brothers,A Little Bit Longer
2020-05-30T18:26:45Z,Wake Me Up Before You Go-Go,Wham!,Make It Big
2020-05-30T18:29:44Z,Me & You,Stereo Skyline,Stuck On Repeat
2020-05-30T18:33:14Z,the snack that smiles back (feat. raychel jay),Shawn Wasabi,the snack that smiles back (feat. raychel jay)
2020-05-30T18:35:53Z,"Bubblegum K.K. (From ""Animal Crossing: New Leaf"")",Qumu,"Bubblegum K.K. (From ""Animal Crossing: New Leaf"")"
2020-05-30T18:36:37Z,The Cuppycake Song,Amy Castle,Balloons (Songs to Delight the Imagination of Children & Parents)
2020-05-30T18:38:27Z,you mean the whole wide world to me,Christina Perri,you mean the whole wide world to me
2020-05-30T18:41:25Z,Beautiful,Bazzi,COSMIC
2020-05-30T18:44:17Z,Sunny Side Up,Surfaces,Horizons
2020-05-30T18:44:51Z,Mr. Blue Sky,Electric Light Orchestra,Out of the Blue
2020-05-30T18:44:54Z,Trouble,Never Shout Never,Me and My Uke
2020-05-30T18:48:03Z,Let's Fall in Love for the Night,FINNEAS,Let’s Fall In Love For The Night
2020-05-30T18:51:53Z,Falling In Love,Us The Duo,No Matter Where You Are
2020-05-30T18:54:54Z,Lost in the Woods,Jonathan Groff,Frozen 2 - Original Motion Picture Soundtrack/Deluxe Edition
2020-05-30T18:58:41Z,Sad Song (feat. Elena Coats),We The Kings,Somewhere Somehow
2020-05-30T18:58:49Z,All of Me,John Legend,Love In The Future (Expanded Edition)
2020-05-30T18:58:55Z,All of Me,John Legend,Love In The Future (Expanded Edition)
2020-05-30T19:01:36Z,"Sugar, Sugar",The Archies,"The Very Best Of ""The Archies"""
2020-05-30T19:04:29Z,SUGA SWEET,FAKY,SUGA SWEET
2020-05-30T19:07:22Z,Ice Cream Girl,tobi lou,Live on Ice
2020-05-30T19:07:34Z,Mine,Bazzi,COSMIC
2020-05-30T19:10:26Z,Indigo,88rising,Head In The Clouds II
2020-05-30T19:12:50Z,HOME RUN (feat. raychel jay),Shawn Wasabi,HOME RUN (feat. raychel jay)
2020-05-30T19:16:44Z,Perfect Two,Auburn,Perfect Two
2020-05-30T19:20:19Z,Beautiful Soul,Jesse McCartney,Beautiful Soul
2020-05-30T19:23:40Z,Better Together,Us The Duo,Better Together
2020-05-30T19:27:12Z,Say You Won't Let Go,James Arthur,Back from the Edge
2020-05-30T19:30:33Z,Rhythm Of Love,Plain White T's,Wonders Of The Younger
2020-05-30T19:33:46Z,Nine in the Afternoon,Panic! At The Disco,Pretty. Odd.
2020-05-30T19:37:07Z,What Makes You Beautiful,One Direction,Up All Night
2020-05-30T19:40:19Z,Stupid for You,Waterparks,Double Dare
2020-05-30T19:43:55Z,Like Ooh-Ahh,TWICE,The Story Begins
2020-05-30T19:45:15Z,What I've Been Looking For (Reprise),Troy,High School Musical
2020-05-30T19:48:27Z,Lucky,Jason Mraz,We Sing. We Dance. We Steal Things.
2020-05-30T19:51:47Z,"1, 2, 3, 4",Plain White T's,Big Bad World
2020-05-30T19:55:03Z,Bubbly,Colbie Caillat,Coco
2020-05-30T19:58:50Z,Get This Right - Outtake,Jonathan Groff,Frozen 2 - Original Motion Picture Soundtrack/Deluxe Edition
2020-05-30T20:01:26Z,I Love You Too Much,Gustavo Santaolalla,The Book of Life (Original Motion Picture Soundtrack)
2020-05-30T20:01:49Z,Can't Help Falling In Love,Kina Grannis,Crazy Rich Asians (Original Motion Picture Soundtrack)
2020-05-30T20:06:46Z,Isn't She Lovely,Stevie Wonder,The Definitive Collection
2020-05-30T20:10:11Z,Lucky,Jason Mraz,We Sing. We Dance. We Steal Things.
2020-05-30T20:10:33Z,Can't Help Falling in Love,Haley Reinhart,Better
2020-05-30T20:10:33Z,Location - Recorded at Spotify Studios NYC,AJR,Spotify Singles
2020-05-30T20:10:33Z,Grow as We Go,Ben Platt,Sing To Me Instead
2020-05-30T20:10:35Z,I Will Spend My Whole Life Loving You,Imaginary Future,I Will Spend My Whole Life Loving You
2020-05-30T20:10:37Z,Grow as We Go,Ben Platt,Sing To Me Instead
2020-05-30T20:10:39Z,Location - Recorded at Spotify Studios NYC,AJR,Spotify Singles
2020-05-30T20:10:40Z,Can't Help Falling in Love,Haley Reinhart,Better
2020-05-30T20:10:42Z,Location - Recorded at Spotify Studios NYC,AJR,Spotify Singles
2020-05-30T20:14:51Z,Grow as We Go,Ben Platt,Sing To Me Instead
2020-05-30T20:18:39Z,I Will Spend My Whole Life Loving You,Imaginary Future,I Will Spend My Whole Life Loving You
2020-05-30T20:22:16Z,Real Estate,Adam Melchor,Real Estate
2020-05-30T20:25:33Z,Bubbly,Colbie Caillat,Coco
2020-05-30T20:25:40Z,a thousand years,Christina Perri,a thousand years
2020-05-30T20:25:42Z,I'm Yours,Jason Mraz,We Sing. We Dance. We Steal Things.
2020-05-30T20:28:49Z,Favorite T-Shirt - Acoustic,Jake Scott,Favorite T-Shirt
2020-05-30T20:32:43Z,Gravity,Sara Bareilles,Little Voice
2020-05-30T20:36:44Z,Marry Me,Train,"Save Me, San Francisco (Golden Gate Edition)"
2020-05-30T20:37:16Z,Marry Me,Train,"Save Me, San Francisco (Golden Gate Edition)"
2020-05-30T20:39:56Z,Rainbow,Kacey Musgraves,Golden Hour
2020-05-30T20:40:00Z,Turning Page,Sleeping At Last,Turning Page
2020-05-30T20:43:54Z,The Most Beautiful Thing,Bruno Major,The Most Beautiful Thing
2020-05-30T20:47:55Z,I Won't Give Up,Jason Mraz,Love Is a Four Letter Word
2020-05-30T20:48:09Z,The One That Got Away - Acoustic,Katy Perry,Teenage Dream: The Complete Confection
2020-05-30T20:48:49Z,Somewhere Only We Know,Lily Allen,Somewhere Only We Know
2020-05-30T20:52:50Z,"Flightless Bird, American Mouth",Iron & Wine,The Shepherd's Dog
2020-05-30T20:52:59Z,Night Changes,One Direction,FOUR
2020-05-30T20:53:11Z,Lost in You,khai dreams,Lost in You
2020-05-30T20:56:36Z,Missin' You Like Crazy,Us The Duo,Us
2020-05-30T21:00:11Z,Heregoesnothin,Never Shout Never,The Yippee EP
2020-05-30T21:00:45Z,Heregoesnothin,Never Shout Never,The Yippee EP
2020-05-30T21:00:49Z,Heregoesnothin,Never Shout Never,The Yippee EP
2020-05-30T21:04:59Z,Little Talks,Julia Sheer,Little Talks
2020-05-30T21:08:43Z,Mr. & Mrs. Beautiful,The Workday Release,Simple Distance
2020-05-30T21:11:56Z,Baby,Clay Finnesand,Honest
2020-05-30T21:15:30Z,By My Side,David Choi,By My Side
2020-05-30T21:18:03Z,i love you more than you will ever know,Never Shout Never,Harmony
2020-05-30T21:22:52Z,The Moon Song,Walker Burroughs,The Moon Song
2020-05-30T21:26:39Z,Close To You,Us The Duo,Us
2020-05-30T21:30:14Z,I Do,The Hound + The Fox,Some Say Love's Enough
2020-05-30T21:33:34Z,I Ain't Ever Loved No One - Acoustic,Donovan Woods,The Other Way
2020-05-30T21:37:12Z,Run Away,Ben Platt,Sing To Me Instead
2020-05-30T21:41:08Z,This Ain't Love,Andy Grammer,The Good Parts
2020-05-30T21:44:02Z,I Do,Colbie Caillat,All Of You
2020-05-30T21:47:14Z,Blame It On The Stars,Andy Grammer,Magazines Or Novels
2020-05-30T21:50:27Z,Big Little Life,Mikey Wax,Big Little Life
2020-05-30T21:56:05Z,Time Travel,Never Shout Never,Time Travel
2020-05-30T21:59:49Z,Love Her,Jonas Brothers,Happiness Begins
2020-05-30T22:03:17Z,Livin' Easy,Cody Simpson,Free
2020-05-30T22:03:47Z,Livin' Easy,Cody Simpson,Free
2020-05-30T22:07:41Z,Bad Habit,Ben Platt,Sing To Me Instead
2020-05-30T22:11:09Z,It Don't Matter (feat. Donavon Frankenreiter),Cody Simpson,Free
2020-05-30T22:13:18Z,Happy - EP Version,Never Shout Never,The Summer EP
2020-05-30T22:17:14Z,Crazy Beautiful,Andy Grammer,Crazy Beautiful EP
2020-05-30T22:17:25Z,Crazy Beautiful,Andy Grammer,Crazy Beautiful EP
2020-05-30T22:22:06Z,Moon River,JJ Heller,I Dream of You: CALM
2020-05-30T22:25:25Z,La Da Dee,Cody Simpson,Surfers Paradise (Expanded)
2020-05-30T22:27:54Z,Why,Bazzi,COSMIC
2020-05-30T22:27:59Z,Mine,Bazzi,COSMIC
2020-05-30T22:28:02Z,Falling In Love,Us The Duo,No Matter Where You Are
2020-05-30T22:31:14Z,If I Can't Have You,Shawn Mendes,If I Can't Have You
2020-05-30T22:34:14Z,Me & You,Stereo Skyline,Stuck On Repeat
2020-05-30T22:37:53Z,You,A Great Big World,You
2020-05-30T22:40:52Z,Beautiful,Bazzi,COSMIC
2020-05-30T22:42:41Z,you mean the whole wide world to me,Christina Perri,you mean the whole wide world to me
2020-05-30T22:45:40Z,No Matter Where You Are,Us The Duo,No Matter Where You Are
2020-05-30T22:45:48Z,Sugar,Maroon 5,V
2020-05-30T22:48:55Z,Lovebug,Jonas Brothers,A Little Bit Longer
2020-05-30T22:48:57Z,Trouble,Never Shout Never,Me and My Uke
2020-05-30T22:48:59Z,Lucky,Jason Mraz,We Sing. We Dance. We Steal Things.
2020-05-30T22:52:19Z,Better Together,Us The Duo,Better Together
2020-05-30T22:55:39Z,What Makes You Beautiful,One Direction,Up All Night
2020-05-30T22:58:58Z,"1, 2, 3, 4",Plain White T's,Big Bad World
2020-05-30T23:02:30Z,Say You Won't Let Go,James Arthur,Back from the Edge
2020-05-30T23:06:35Z,Beautiful Soul,Jesse McCartney,Beautiful Soul
2020-05-30T23:09:36Z,Lost in the Woods,Jonathan Groff,Frozen 2 - Original Motion Picture Soundtrack/Deluxe Edition
2020-05-30T23:13:24Z,Get This Right - Outtake,Jonathan Groff,Frozen 2 - Original Motion Picture Soundtrack/Deluxe Edition
2020-05-30T23:16:44Z,Rhythm Of Love,Plain White T's,Wonders Of The Younger
2020-05-30T23:20:01Z,Bubbly,Colbie Caillat,Coco
2020-05-30T23:21:21Z,What I've Been Looking For (Reprise),Troy,High School Musical
2020-05-30T23:24:48Z,Missin' You Like Crazy,Us The Duo,Us
2020-05-30T23:28:51Z,I'm Yours,Jason Mraz,We Sing. We Dance. We Steal Things.
2020-05-30T23:33:01Z,Grow as We Go,Ben Platt,Sing To Me Instead
2020-05-31T02:09:35Z,SUGA SWEET,FAKY,SUGA SWEET
2020-05-31T17:46:35Z,The Cuppycake Song,Amy Castle,Balloons (Songs to Delight the Imagination of Children & Parents)
2020-05-31T17:49:34Z,Sunny Side Up,Surfaces,Horizons
2020-05-31T17:52:27Z,SUGA SWEET,FAKY,SUGA SWEET
2020-05-31T17:55:03Z,I Love You Too Much,Gustavo Santaolalla,The Book of Life (Original Motion Picture Soundtrack)
2020-05-31T17:58:13Z,Let's Fall in Love for the Night,FINNEAS,Let’s Fall In Love For The Night
2020-05-31T18:02:24Z,Lovebug,Jonas Brothers,A Little Bit Longer
2020-05-31T18:06:54Z,All of Me,John Legend,Love In The Future (Expanded Edition)
2020-05-31T18:10:15Z,Rhythm Of Love,Plain White T's,Wonders Of The Younger
2020-05-31T18:15:33Z,Mr. Blue Sky,Electric Light Orchestra,Out of the Blue
2020-05-31T18:19:18Z,Get This Right - Outtake,Jonathan Groff,Frozen 2 - Original Motion Picture Soundtrack/Deluxe Edition
2020-05-31T18:21:47Z,I Do Adore,Mindy Gledhill,Anchor
2020-05-31T18:25:22Z,Beautiful Soul,Jesse McCartney,Beautiful Soul
2020-05-31T18:29:19Z,If I Can't Have You,Shawn Mendes,If I Can't Have You
2020-05-31T18:31:58Z,"Bubblegum K.K. (From ""Animal Crossing: New Leaf"")",Qumu,"Bubblegum K.K. (From ""Animal Crossing: New Leaf"")"
2020-05-31T18:35:18Z,Better Together,Us The Duo,Better Together
2020-05-31T18:35:36Z,Mine,Bazzi,COSMIC
2020-05-31T18:38:36Z,Lost in the Woods,Jonathan Groff,Frozen 2 - Original Motion Picture Soundtrack/Deluxe Edition
2020-05-31T18:42:08Z,Say You Won't Let Go,James Arthur,Back from the Edge
2020-05-31T18:45:07Z,Beautiful,Bazzi,COSMIC
2020-05-31T18:48:19Z,Lucky,Jason Mraz,We Sing. We Dance. We Steal Things.
2020-05-31T18:51:07Z,"Sugar, Sugar",The Archies,"The Very Best Of ""The Archies"""
2020-05-31T18:53:43Z,Happy - EP Version,Never Shout Never,The Summer EP
2020-05-31T18:57:03Z,Isn't She Lovely,Stevie Wonder,The Definitive Collection
2020-05-31T19:01:29Z,Sugar,Maroon 5,V
2020-05-31T19:01:37Z,Sad Song (feat. Elena Coats),We The Kings,Somewhere Somehow
2020-05-31T19:04:36Z,Me & You,Stereo Skyline,Stuck On Repeat
2020-05-31T19:05:56Z,What I've Been Looking For (Reprise),Troy,High School Musical
2020-05-31T19:09:10Z,Nine in the Afternoon,Panic! At The Disco,Pretty. Odd.
2020-05-31T19:11:17Z,Sunkissed,khai dreams,Now and Then
2020-05-31T19:13:43Z,Trouble,Never Shout Never,Me and My Uke
2020-05-31T19:16:36Z,Ice Cream Girl,tobi lou,Live on Ice
2020-05-31T19:19:41Z,Lemonade,Jeremy Passion,Thankful
2020-05-31T19:21:31Z,you mean the whole wide world to me,Christina Perri,you mean the whole wide world to me
2020-05-31T19:24:48Z,La Da Dee,Cody Simpson,Surfers Paradise (Expanded)
2020-05-31T19:27:47Z,Your Soul,Forrest.,Warm
2020-05-31T19:29:37Z,UWU,Chevy,UWU
2020-05-31T19:33:29Z,Wake Me Up Before You Go-Go,Wham!,Make It Big
2020-05-31T19:36:28Z,No Matter Where You Are,Us The Duo,No Matter Where You Are
