ts,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name
2022-04-03T18:23:56Z,parking lot view,almost monday,parking lot view
2022-04-03T18:26:40Z,we made it.,david hugo,Blossom Hill
2022-04-03T18:30:19Z,Electric Love,BØRNS,Dopamine
2022-04-03T18:32:20Z,this is what falling in love feels like,JVKE,this is what falling in love feels like
2022-04-03T18:35:27Z,Talk Too Much,COIN,How Will You Know If You Never Try
2022-04-03T18:38:56Z,free love,HONNE,no song without you
2022-04-03T18:42:40Z,MUFFIN,BadBoyHalo,MUFFIN
2022-04-03T18:46:33Z,Make You Mine,PUBLIC,Make You Mine
2022-04-03T18:49:42Z,Crash My Car,COIN,Dreamland
2022-04-03T18:52:35Z,Something Super Sweet,Rory Webley,Are You Scared Yet?
2022-04-03T18:55:43Z,Grow,HOAX,Grow
2022-04-03T19:09:08Z,as long as you care,Ruel,as long as you care
2022-04-03T19:57:37Z,sex,EDEN,i think you think too much of me
2022-04-03T20:00:37Z,Used to Me,Luke Chiang,Used to Me
2022-04-03T20:03:32Z,Daydreaming,Marc Wavy,Daydreaming
2022-04-03T20:07:34Z,Leave The Door Open,Bruno Mars,An Evening With Silk Sonic
2022-04-03T20:11:57Z,Best Friend,Rex Orange County,Best Friend
2022-04-03T20:14:34Z,Like Or Like Like,Miniature Tigers,Tell It To The Volcano
2022-04-03T20:17:56Z,Cristina,Sebastian Yatra,Cristina
2022-04-03T20:21:25Z,Out of My League,Fitz and The Tantrums,More Than Just a Dream
2022-04-03T20:25:07Z,Intentions,Charlie Burg,"One, Violet"
2022-04-03T20:26:51Z,loving you is so easy,HONNE,no song without you
2022-04-03T20:26:56Z,Summer Is for Falling in Love,Sarah Kang,Summer Is for Falling in Love
2022-04-03T21:15:03Z,Mariposa,Peach Tree Rascals,Mariposa
2022-04-03T21:18:42Z,loving you is so easy,HONNE,no song without you
2022-04-03T21:19:17Z,"Te Quiero Mucho, Mucho",Río Roma,Eres la Persona Correcta en el Momento Equivocado
2022-04-03T21:22:07Z,Palm Springs (the way you made me feel),Virginia To Vegas,Palm Springs (the way you made me feel)
2022-04-03T21:24:01Z,Through and Through,khai dreams,Through and Through
2022-04-03T21:27:26Z,Darlin',tobi lou,Darlin'
2022-04-03T21:30:25Z,Your Soul,Forrest.,Warm
2022-04-03T21:33:45Z,Dynamite,BTS,BE
2022-04-03T21:37:02Z,Little Things (with Quinn XCII & Chelsea Cutler),Louis The Child,Little Things (with Quinn XCII & Chelsea Cutler)
2022-04-03T21:40:36Z,Painkiller,Ruel,Free Time
2022-04-03T21:43:53Z,Sorry for Me,Ricky Montgomery,Sorry for Me
2022-04-03T21:47:52Z,Dive,Ed Sheeran,÷
2022-04-03T21:52:12Z,Sunday,Office Hours,Sunday
2022-04-03T21:55:10Z,Love Me Less (feat. Quinn XCII),MAX,Love Me Less (feat. Quinn XCII)
2022-04-03T21:57:35Z,THATS WHAT I WANT,Lil Nas X,MONTERO
2022-04-03T22:00:30Z,Classic,MKTO,MKTO
2022-04-03T22:04:00Z,Mariposa,Peach Tree Rascals,Mariposa
2022-04-03T22:09:36Z,MUFFIN,BadBoyHalo,MUFFIN
2022-04-03T22:13:03Z,Lately,Forrest.,Lately
2022-04-03T22:17:13Z,Line Without a Hook,Ricky Montgomery,Montgomery Ricky
2022-04-03T22:20:07Z,Indigo,88rising,Head In The Clouds II
2022-04-04T16:44:17Z,Mind Playing Tricks on Me,Geto Boys,We Can't Be Stopped
2022-04-04T16:49:32Z,Big Poppa - 2005 Remaster,The Notorious B.I.G.,Ready to Die
2022-04-04T16:53:46Z,Ratha Be Ya Nigga (ft. Richie Rich),2Pac,All Eyez On Me
2022-04-04T16:58:27Z,Stay Out The Way (feat. Snoop Dogg),Daz Dillinger,West Coast Gangsta Sh*t
2022-04-04T17:01:11Z,The Next Episode,Dr. Dre,2001
2022-04-05T00:15:07Z,Why Won't You Be My Girl?,William Hinson,Why Won't You Be My Girl?
2022-04-05T00:19:41Z,Heather,Conan Gray,Kid Krow
2022-04-05T00:29:54Z,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,Red (Taylor's Version)
2022-04-05T00:30:07Z,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,Red (Taylor's Version)
2022-04-05T00:30:11Z,Ghost Of You,5 Seconds of Summer,Youngblood - Deluxe
2022-04-05T00:40:24Z,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,Red (Taylor's Version)
2022-04-05T00:43:42Z,Ghost Of You,5 Seconds of Summer,Youngblood - Deluxe
2022-04-05T00:46:31Z,abcdefu,GAYLE,abcdefu
2022-04-05T00:51:20Z,算什麼男人,Jay Chou,哎呦 不錯哦
2022-04-05T00:55:51Z,Un-Break My Heart,Toni Braxton,Secrets
2022-04-05T00:59:55Z,Astronomy,Conan Gray,Astronomy
2022-04-05T01:06:06Z,那些年,Hu Xia,那些年，我們一起追的女孩 電影原聲帶
2022-04-05T01:10:05Z,Break My Heart Again,FINNEAS,Blood Harmony
2022-04-05T01:18:31Z,Heather,Conan Gray,Kid Krow
2022-04-05T01:22:34Z,drivers license,Olivia Rodrigo,SOUR
2022-04-05T01:26:19Z,Save Myself,Ashe,Save Myself
2022-04-05T01:29:12Z,Oye,TINI,Reggaeton Sónico Vol. 1
2022-04-05T01:32:27Z,End of the Day,One Direction,Made In The A.M. - Deluxe Edition
2022-04-05T01:38:19Z,オレンジ,7!!,セツナエモーション
2022-04-05T02:49:45Z,冬のはなし,ギヴン,gift
2022-04-05T02:52:54Z,Grow,HOAX,Grow
2022-04-05T02:55:50Z,Daydreaming,Marc Wavy,Daydreaming
2022-04-05T02:59:03Z,as long as you care,Ruel,as long as you care
2022-04-05T02:59:22Z,小幸運,Hebe Tien,小幸運
2022-04-05T03:02:35Z,as long as you care,Ruel,as long as you care
2022-04-05T03:03:02Z,小幸運,Hebe Tien,小幸運
2022-04-05T03:06:10Z,Sofia,Clairo,Immunity
2022-04-05T03:09:54Z,Intentions,Charlie Burg,"One, Violet"
2022-04-05T03:13:32Z,Electric Love,BØRNS,Dopamine
2022-04-05T03:17:27Z,Pancakes for Dinner,Lizzy McAlpine,Give Me A Minute
2022-04-05T03:21:17Z,Pretty Face,PUBLIC,Let's Remake It
2022-04-05T03:23:41Z,Love Like You (feat. Rebecca Sugar) - End Credits,Steven Universe,"Steven Universe, Vol. 1 (Original Soundtrack)"
2022-04-05T04:25:50Z,parking lot view,almost monday,parking lot view
2022-04-05T04:28:45Z,Love Grows (Where My Rosemary Goes),Edison Lighthouse,Love Grows (Where My Rosemary Goes) & Other Gems
2022-04-05T04:32:47Z,Leave The Door Open,Bruno Mars,An Evening With Silk Sonic
2022-04-05T04:35:03Z,Fictional Men,PEGGY,Fictional Men
2022-04-05T04:38:33Z,free love,HONNE,no song without you
2022-04-05T04:39:03Z,小幸運,Hebe Tien,小幸運
2022-04-05T05:31:09Z,loving you is so easy,HONNE,no song without you
2022-04-05T05:32:00Z,loving you is so easy,HONNE,no song without you
2022-04-05T05:35:09Z,Sofia,Clairo,Immunity
2022-04-05T05:38:01Z,Something Super Sweet,Rory Webley,Are You Scared Yet?
2022-04-05T05:41:10Z,Grow,HOAX,Grow
2022-04-05T05:44:19Z,Crash My Car,COIN,Dreamland
2022-04-05T05:47:14Z,Love Grows (Where My Rosemary Goes),Edison Lighthouse,Love Grows (Where My Rosemary Goes) & Other Gems
2022-04-05T05:50:53Z,sex,EDEN,i think you think too much of me
2022-04-05T05:53:38Z,we made it.,david hugo,Blossom Hill
2022-04-05T05:57:08Z,Kiss Me More (feat. SZA),Doja Cat,Kiss Me More (feat. SZA)
2022-04-05T05:59:24Z,Fictional Men,PEGGY,Fictional Men
2022-04-05T06:01:34Z,Backyard Boy,Claire Rosinkranz,Backyard Boy
2022-04-05T06:02:20Z,小幸運,Hebe Tien,小幸運
2022-04-05T06:05:30Z,Let's Fall in Love for the Night,FINNEAS,Let’s Fall In Love For The Night
2022-04-05T06:09:08Z,Electric Love,BØRNS,Dopamine
2022-04-05T06:10:15Z,Be Around Me,Will Joseph Cook,Be Around Me
2022-04-05T06:13:48Z,SUPERBLOOM,MisterWives,SUPERBLOOM
