Track Name,Album Name,Artist Name(s),Release Date,Added At,Genres,Duration (ms),Popularity,Danceability,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Play Count
FREEDOM,BLUE ENCOUNT HALL TOUR 2019 apartment of SICK(S) SET LIST,BLUE ENCOUNT,7/17/2019,2025-03-21T21:22:13Z,"anime,j-rock,j-pop",239893,43,0.484,7,-4.013,0.069,0.000262,0,0.285,0.241,102.034,4,14
光るなら,Milk,Goose house,2/25/2015,2025-03-21T21:22:13Z,"anime,j-pop",252133,67,0.491,6,-2.722,0.0652,0.391,0,0.342,0.571,160.092,4,16
Prayer X,Sympa,King Gnu,1/16/2019,2025-03-21T21:22:13Z,"j-pop,anime,j-rock",195226,57,0.528,11,-6.006,0.28,0.419,0,0.181,0.542,174.112,4,12
残響散歌,残響散歌,Aimer,12/6/2021,2025-03-21T21:22:13Z,"anime,j-pop,j-rock",184893,67,0.367,11,-4.002,0.091,0.000627,0,0.207,0.38,170.863,4,14
Chikatto Chika Chikattsu (From Kaguya-sama: Love Is War),Chikatto Chika Chikattsu (From Kaguya-sama: Love Is War),"Akano,Jonatan King",7/30/2019,2025-03-21T21:22:13Z,anime,95140,23,0.755,11,-6.384,0.244,0.193,1.68E-06,0.118,0.32,178.002,4,15
"Centimeter (From Rent a Girlfriend: Kanojo, Okarishimasu)","Centimeter (From Rent a Girlfriend: Kanojo, Okarishimasu)",Miura Jam,8/26/2020,2025-03-21T21:22:13Z,anime,225343,32,0.622,2,-6.196,0.0399,0.00275,0.00036,0.301,0.796,139.954,4,17
Cry Baby,Cry Baby,OFFICIAL HIGE DANDISM,5/7/2021,2025-03-21T21:22:13Z,"j-pop,anime,j-rock",240284,59,0.318,1,-4.605,0.131,0.0116,0,0.393,0.437,199.844,4,18
LOST IN PARADISE,LOST IN PARADISE,"ALI,AKLO",10/10/2020,2025-03-21T21:22:13Z,"anime,j-pop,j-rap,j-r&b",327966,65,0.648,6,-4.565,0.0786,0.0961,2.07E-06,0.0629,0.728,121.994,4,9
キミの隣,Assortrip,halca,2018,2025-03-21T21:22:13Z,"anime,j-pop",279133,39,0.596,5,-3.011,0.0365,0.0135,1.44E-06,0.337,0.58,134.971,4,11
DADDY ! DADDY ! DO !,ALL TIME ROCK 'N' ROLL,"Masayuki Suzuki,鈴木愛理",4/15/2020,2025-03-21T21:22:13Z,"anime,j-pop,kayokyoku,city pop",254640,62,0.684,8,-3.826,0.0496,0.322,0,0.12,0.819,138.104,4,15
SOUVENIR,SOUVENIR,BUMP OF CHICKEN,9/29/2022,2025-03-21T21:22:13Z,"j-pop,j-rock,anime",264126,59,0.622,2,-4.997,0.0413,0.0094,6.48E-06,0.0957,0.96,158.056,4,13
カワキヲアメク,カワキヲアメク,美波,1/30/2019,2025-03-21T21:22:13Z,"anime,j-pop,j-rock",251933,69,0.546,6,-4.52,0.0536,0.0148,0.00014,0.185,0.511,129.165,4,12
Kaikai Kitan,Kaikai Kitan / Ao No Waltz,Eve,12/23/2020,2025-03-21T21:22:13Z,"anime,j-pop,j-rock,vocaloid,japanese indie",221426,72,0.584,5,-3.515,0.09,0.0119,0,0.119,0.606,92.502,4,9
EVERBLUE,EVERBLUE,Omoinotake,10/1/2021,2025-03-21T21:22:13Z,"j-pop,city pop,anime,japanese indie",241866,46,0.597,8,-4.225,0.173,0.0463,0,0.299,0.498,134.985,4,9
Touch You,アニメ『ヤリチン☆ビッチ部』主題歌「Touch You」,"遠野高志,加島優,矢口恭介,ジミー,百合絢斗,田村唯,明美圭一,糸目幸士郎,鹿谷樹",8/15/2018,2025-03-21T21:22:13Z,anime,206180,62,0.603,8,-2.886,0.0487,0.00655,3.04E-06,0.143,0.796,135.028,4,12
君のせい,Hell like Heaven,the peggies,2/6/2019,2025-03-21T21:22:13Z,"anime,j-rock,j-pop,japanese indie",263066,56,0.39,4,-1.51,0.0812,0.00079,0.00704,0.304,0.557,173.998,4,14
Sparkle - movie ver.,Your Name.,RADWIMPS,8/24/2016,2025-03-21T21:22:13Z,"anime,j-pop,j-rock",537653,67,0.372,11,-8.421,0.0339,0.687,0.00784,0.109,0.287,123.993,4,12
crossing field,LANDSPACE,LiSA,10/30/2013,2025-03-21T21:22:13Z,"anime,j-pop,j-rock",248946,68,0.45,5,-2.246,0.282,0.0186,0,0.265,0.314,179.041,4,8
色彩,awake＆build,yama,1/24/2024,2025-03-21T21:22:13Z,"j-pop,anime,j-rock",192920,60,0.581,7,-3.373,0.0736,0.153,0,0.254,0.856,117.045,4,14
Comedy,Comedy,Gen Hoshino,4/8/2022,2025-03-21T21:22:13Z,"j-pop,anime",230666,63,0.676,1,-6.746,0.143,0.0322,1.01E-06,0.358,0.715,87.917,4,8
センチメンタルクライシス,Assortrip,halca,2018,2025-03-21T21:22:13Z,"anime,j-pop",243960,49,0.409,7,-2.535,0.105,0.0107,0.0018,0.127,0.577,167.127,4,12
GIRI GIRI,GIRI GIRI,"Masayuki Suzuki,すぅ",4/15/2022,2025-03-21T21:22:13Z,"anime,j-pop,kayokyoku,city pop",258765,49,0.78,11,-4.053,0.0351,0.223,0,0.0484,0.961,127.993,4,13
RED,RED,Survive Said The Prophet,12/12/2018,2025-03-21T21:22:13Z,"anime,j-rock",253893,47,0.449,5,-4.592,0.0351,0.0165,0,0.302,0.423,107.997,4,11
シンデレラ,シンデレラ,Cidergirl,10/8/2021,2025-03-21T21:22:13Z,"anime,j-pop,j-rock,japanese indie",212310,53,0.572,7,-2.617,0.0626,0.0141,0,0.315,0.717,129.981,4,13
色香水,CLOSET,Yoh kamiyama,4/27/2022,2025-03-21T21:22:13Z,"anime,j-pop,japanese indie,j-rock",251186,54,0.615,7,-5.811,0.0274,0.0576,0.000135,0.229,0.738,147.984,4,12
found & lost,s p a c e [ s ],Survive Said The Prophet,9/26/2018,2025-03-21T21:22:13Z,"anime,j-rock",188960,51,0.547,1,-3.71,0.0783,0.000133,0.000303,0.343,0.382,104.086,4,11
Hikare Inochi,Hikare Inochi,Kitri,10/14/2021,2025-03-21T21:22:13Z,anime,322146,40,0.592,2,-5.268,0.0311,0.319,4.66E-06,0.137,0.385,102.033,4,11
炎,炎,LiSA,10/12/2020,2025-03-21T21:22:13Z,"anime,j-pop,j-rock",275000,60,0.477,2,-4.554,0.0325,0.105,0,0.277,0.308,152.04,4,13
紅蓮華,LEO-NiNE,LiSA,10/14/2020,2025-03-21T21:22:13Z,"anime,j-pop,j-rock",237586,73,0.541,4,-2.828,0.157,0.00321,5.13E-05,0.0796,0.263,134.938,4,15
瞬き,TVアニメ「佐々木と宮野」オープニングテーマ「瞬き」,ミラクルチンパンジー,1/26/2022,2025-03-21T21:22:13Z,anime,240506,39,0.611,4,-4.683,0.0485,0.0332,0,0.0895,0.894,114.971,4,11
What You Need,What You Need,Ashley Sienna,11/18/2022,2025-03-21T21:22:13Z,,196470,53,0.658,4,-5.371,0.0382,0.00751,0.00387,0.678,0.192,101.985,4,6
