ts,platform,ms_played,conn_country,ip_addr,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,audiobook_title,audiobook_uri,audiobook_chapter_uri,audiobook_chapter_title,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
2022-04-03T18:23:56Z,web_player windows 10;chrome 99.0.4844.84;desktop,178965,CA,130.113.109.190,parking lot view,almost monday,parking lot view,spotify:track:3g4o4r0eC0aySaIRNCheL2,,,,,,,,trackdone,trackdone,True,False,False,,False
2022-04-03T18:26:40Z,web_player windows 10;chrome 99.0.4844.84;desktop,164545,CA,130.113.109.190,we made it.,david hugo,Blossom Hill,spotify:track:0KpAm8TtyHPZmxdPO7npYO,,,,,,,,trackdone,trackdone,True,False,False,,False
2022-04-03T18:30:19Z,web_player windows 10;chrome 99.0.4844.84;desktop,217899,CA,130.113.109.190,Electric Love,BØRNS,Dopamine,spotify:track:2GiJYvgVaD2HtM8GqD9EgQ,,,,,,,,trackdone,trackdone,True,False,False,,False
2022-04-03T18:32:20Z,web_player windows 10;chrome 99.0.4844.84;desktop,119785,CA,130.113.109.190,this is what falling in love feels like,JVKE,this is what falling in love feels like,spotify:track:4UG2Fm0E98LhE2dlNxiAXx,,,,,,,,trackdone,trackdone,True,False,False,,False
2022-04-03T18:35:27Z,web_player windows 10;chrome 99.0.4844.84;desktop,186977,CA,130.113.109.190,Talk Too Much,COIN,How Will You Know If You Never Try,spotify:track:4djIFfof5TpbSGRZUpsTXq,,,,,,,,trackdone,trackdone,True,False,False,,False
2022-04-03T18:38:56Z,web_player windows 10;chrome 99.0.4844.84;desktop,209177,CA,130.113.109.190,free love,HONNE,no song without you,spotify:track:0GPJSHYaXh8rZSSJoUMgyl,,,,,,,,trackdone,trackdone,True,False,False,,False
2022-04-03T18:42:40Z,web_player windows 10;chrome 99.0.4844.84;desktop,224040,CA,130.113.109.190,MUFFIN,BadBoyHalo,MUFFIN,spotify:track:0w9SSLVuq8ZlCdrfEuqQ6z,,,,,,,,trackdone,trackdone,True,False,False,,False
2022-04-03T18:46:33Z,web_player windows 10;chrome 99.0.4844.84;desktop,232788,CA,130.113.109.190,Make You Mine,PUBLIC,Make You Mine,spotify:track:5iFwAOB2TFkPJk8sMlxP8g,,,,,,,,trackdone,trackdone,True,False,False,,False
2022-04-03T18:49:42Z,web_player windows 10;chrome 99.0.4844.84;desktop,188094,CA,130.113.109.190,Crash My Car,COIN,Dreamland,spotify:track:0X5mtNbqxbiTYkwj0CQc2f,,,,,,,,trackdone,trackdone,True,False,False,,False
2022-04-03T18:52:35Z,web_player windows 10;chrome 99.0.4844.84;desktop,172532,CA,130.113.109.190,Something Super Sweet,Rory Webley,Are You Scared Yet?,spotify:track:7byGwLkiIzJdHOZKZMS8nd,,,,,,,,trackdone,trackdone,True,False,False,,False
2022-04-03T18:55:43Z,web_player windows 10;chrome 99.0.4844.84;desktop,188015,CA,130.113.109.190,Grow,HOAX,Grow,spotify:track:1Q1tGyKNtNYrL6lblUESQK,,,,,,,,trackdone,trackdone,True,False,False,,False
2022-04-03T19:09:08Z,web_player windows 10;chrome 99.0.4844.84;desktop,193189,CA,130.113.109.190,as long as you care,Ruel,as long as you care,spotify:track:0GQqQ7dA7B4mcEktSZaOUp,,,,,,,,trackdone,trackdone,True,False,False,,False
2022-04-03T19:57:37Z,web_player windows 10;chrome 99.0.4844.84;desktop,218750,CA,130.113.109.190,sex,EDEN,i think you think too much of me,spotify:track:26ZX2JrAb8AFbr8FFfAsO7,,,,,,,,trackdone,trackdone,True,False,False,,False
2022-04-03T20:00:37Z,web_player windows 10;chrome 99.0.4844.84;desktop,179341,CA,130.113.109.190,Used to Me,Luke Chiang,Used to Me,spotify:track:3XRCW9Ty46AMuKEPFjAZom,,,,,,,,trackdone,trackdone,True,False,False,,False
2022-04-03T20:03:32Z,web_player windows 10;chrome 99.0.4844.84;desktop,175314,CA,130.113.109.190,Daydreaming,Marc Wavy,Daydreaming,spotify:track:3gXS1kwhHCpIm6KjpoXWSr,,,,,,,,trackdone,trackdone,True,False,False,,False
2022-04-03T20:07:34Z,web_player windows 10;chrome 99.0.4844.84;desktop,241883,CA,130.113.109.190,Leave The Door Open,Bruno Mars,An Evening With Silk Sonic,spotify:track:02VBYrHfVwfEWXk5DXyf0T,,,,,,,,trackdone,trackdone,True,False,False,,False
2022-04-03T20:11:57Z,web_player windows 10;chrome 99.0.4844.84;desktop,262046,CA,130.113.109.190,Best Friend,Rex Orange County,Best Friend,spotify:track:47Bg6IrMed1GPbxRgwH2aC,,,,,,,,trackdone,trackdone,True,False,False,,False
2022-04-03T20:14:34Z,web_player windows 10;chrome 99.0.4844.84;desktop,156280,CA,130.113.109.190,Like Or Like Like,Miniature Tigers,Tell It To The Volcano,spotify:track:3Gp3KGChMmdv5v8ahwOCCR,,,,,,,,trackdone,trackdone,True,False,False,,False
2022-04-03T20:17:56Z,web_player windows 10;chrome 99.0.4844.84;desktop,201847,CA,130.113.109.190,Cristina,Sebastian Yatra,Cristina,spotify:track:1Kjer1JoWuJGNwGV6Pbgv1,,,,,,,,trackdone,trackdone,True,False,False,,False
2022-04-03T20:21:25Z,web_player windows 10;chrome 99.0.4844.84;desktop,208045,CA,130.113.109.190,Out of My League,Fitz and The Tantrums,More Than Just a Dream,spotify:track:2Z5wXgysowvzl0nKGNGU0t,,,,,,,,trackdone,trackdone,True,False,False,,False
2022-04-03T20:25:07Z,web_player windows 10;chrome 99.0.4844.84;desktop,222716,CA,130.113.109.190,Intentions,Charlie Burg,"One, Violet",spotify:track:6fLlIJberJNX45w4xlvRUL,,,,,,,,trackdone,trackdone,True,False,False,,False
2022-04-03T20:26:51Z,web_player windows 10;chrome 99.0.4844.84;desktop,0,CA,130.113.109.190,loving you is so easy,HONNE,no song without you,spotify:track:5RKb8NyPAqkr77LbcSOTLn,,,,,,,,trackdone,trackdone,True,False,False,,False
2022-04-03T20:26:56Z,web_player windows 10;chrome 99.0.4844.84;desktop,79949,CA,130.113.109.190,Summer Is for Falling in Love,Sarah Kang,Summer Is for Falling in Love,spotify:track:6yfGer1TKpxOjhSd5eL0DL,,,,,,,,trackdone,trackdone,True,False,False,,False
2022-04-03T21:15:03Z,web_player windows 10;chrome 99.0.4844.84;desktop,0,CA,130.113.109.190,Mariposa,Peach Tree Rascals,Mariposa,spotify:track:4ja2gzrNh9VNigzoXfmbwD,,,,,,,,trackdone,logout,True,False,False,,False
2022-04-03T21:18:42Z,web_player windows 10;chrome 99.0.4844.84;desktop,214033,CA,130.113.109.190,loving you is so easy,HONNE,no song without you,spotify:track:5RKb8NyPAqkr77LbcSOTLn,,,,,,,,remote,trackdone,True,False,False,,False
2022-04-03T21:19:17Z,web_player windows 10;chrome 99.0.4844.84;desktop,34522,CA,130.113.109.190,"Te Quiero Mucho, Mucho",Río Roma,Eres la Persona Correcta en el Momento Equivocado,spotify:track:1CnW361jtuyldTsP3pchjS,,,,,,,,trackdone,endplay,True,False,False,,False
2022-04-03T21:22:07Z,web_player windows 10;chrome 99.0.4844.84;desktop,169821,CA,130.113.109.190,Palm Springs (the way you made me feel),Virginia To Vegas,Palm Springs (the way you made me feel),spotify:track:5XnDUr04O83sHaWfqOr6ak,,,,,,,,playbtn,trackdone,True,False,False,,False
2022-04-03T21:24:01Z,web_player windows 10;chrome 99.0.4844.84;desktop,113435,CA,130.113.109.190,Through and Through,khai dreams,Through and Through,spotify:track:4RHyIzFRht2z17XeHB9dsF,,,,,,,,trackdone,trackdone,True,False,False,,False
2022-04-03T21:27:26Z,web_player windows 10;chrome 99.0.4844.84;desktop,205113,CA,130.113.109.190,Darlin',tobi lou,Darlin',spotify:track:0eGrwX4kf5sV1faR5tZDp3,,,,,,,,trackdone,trackdone,True,False,False,,False
2022-04-03T21:30:25Z,web_player windows 10;chrome 99.0.4844.84;desktop,178281,CA,130.113.109.190,Your Soul,Forrest.,Warm,spotify:track:26qTfV9DiLTT5fBXgvXfFx,,,,,,,,trackdone,trackdone,True,False,False,,False
2022-04-03T21:33:45Z,web_player windows 10;chrome 99.0.4844.84;desktop,199052,CA,130.113.109.190,Dynamite,BTS,BE,spotify:track:5QDLhrAOJJdNAmCTJ8xMyW,,,,,,,,trackdone,trackdone,True,False,False,,False
2022-04-03T21:37:02Z,web_player windows 10;chrome 99.0.4844.84;desktop,197335,CA,130.113.109.190,Little Things (with Quinn XCII & Chelsea Cutler),Louis The Child,Little Things (with Quinn XCII & Chelsea Cutler),spotify:track:1OeEpViPwVi1FfdNkOoIci,,,,,,,,trackdone,trackdone,True,False,False,,False
2022-04-03T21:40:36Z,web_player windows 10;chrome 99.0.4844.84;desktop,213420,CA,130.113.109.190,Painkiller,Ruel,Free Time,spotify:track:1YlulsUKDduOmC7WxvXYPW,,,,,,,,trackdone,trackdone,True,False,False,,False
2022-04-03T21:43:53Z,web_player windows 10;chrome 99.0.4844.84;desktop,197443,CA,130.113.109.190,Sorry for Me,Ricky Montgomery,Sorry for Me,spotify:track:5F9WcQalHpZAwKzWi6pBWg,,,,,,,,trackdone,trackdone,True,False,False,,False
2022-04-03T21:47:52Z,web_player windows 10;chrome 99.0.4844.84;desktop,238348,CA,130.113.109.190,Dive,Ed Sheeran,÷,spotify:track:51ChrwmUPDJvedPQnIU8Ls,,,,,,,,trackdone,trackdone,True,False,False,,False
2022-04-03T21:52:12Z,web_player windows 10;chrome 99.0.4844.84;desktop,259767,CA,130.113.109.190,Sunday,Office Hours,Sunday,spotify:track:0wjpNwZnMbp34RmN18sOJW,,,,,,,,trackdone,trackdone,True,False,False,,False
2022-04-03T21:55:10Z,web_player windows 10;chrome 99.0.4844.84;desktop,177623,CA,130.113.109.190,Love Me Less (feat. Quinn XCII),MAX,Love Me Less (feat. Quinn XCII),spotify:track:2tOOcDDYkh0PSjr6GwPEAJ,,,,,,,,trackdone,trackdone,True,False,False,,False
2022-04-03T21:57:35Z,web_player windows 10;chrome 99.0.4844.84;desktop,143876,CA,130.113.109.190,THATS WHAT I WANT,Lil Nas X,MONTERO,spotify:track:0e8nrvls4Qqv5Rfa2UhqmO,,,,,,,,trackdone,trackdone,True,False,False,,False
2022-04-03T22:00:30Z,web_player windows 10;chrome 99.0.4844.84;desktop,175386,CA,130.113.109.190,Classic,MKTO,MKTO,spotify:track:6FE2iI43OZnszFLuLtvvmg,,,,,,,,trackdone,trackdone,True,False,False,,False
2022-04-03T22:04:00Z,web_player windows 10;chrome 99.0.4844.84;desktop,209782,CA,130.113.109.190,Mariposa,Peach Tree Rascals,Mariposa,spotify:track:4ja2gzrNh9VNigzoXfmbwD,,,,,,,,trackdone,trackdone,True,False,False,,False
2022-04-03T22:09:36Z,web_player windows 10;chrome 99.0.4844.84;desktop,224008,CA,130.113.109.190,MUFFIN,BadBoyHalo,MUFFIN,spotify:track:0w9SSLVuq8ZlCdrfEuqQ6z,,,,,,,,trackdone,trackdone,True,False,False,,False
2022-04-03T22:13:03Z,web_player windows 10;chrome 99.0.4844.84;desktop,206929,CA,130.113.109.190,Lately,Forrest.,Lately,spotify:track:5awvelCGpDQHwgZem0ira9,,,,,,,,trackdone,trackdone,True,False,False,,False
2022-04-03T22:17:13Z,web_player windows 10;chrome 99.0.4844.84;desktop,249572,CA,130.113.109.190,Line Without a Hook,Ricky Montgomery,Montgomery Ricky,spotify:track:5NvOZCjZaGGGL597exlQWv,,,,,,,,trackdone,trackdone,True,False,False,,False
2022-04-03T22:20:07Z,web_player windows 10;chrome 99.0.4844.84;desktop,173334,CA,130.113.109.190,Indigo,88rising,Head In The Clouds II,spotify:track:349Wc5mDu52d4Uv8Eg9WZv,,,,,,,,trackdone,trackdone,True,False,False,,False
2022-04-04T16:44:17Z,"Android OS 11 API 30 (TCL, T770B)",307211,CA,130.113.109.216,Mind Playing Tricks on Me,Geto Boys,We Can't Be Stopped,spotify:track:63BokRfXSQhEU6Qi2dSJpZ,,,,,,,,appload,trackdone,False,False,False,,False
2022-04-04T16:49:32Z,"Android OS 11 API 30 (TCL, T770B)",252746,CA,130.113.109.216,Big Poppa - 2005 Remaster,The Notorious B.I.G.,Ready to Die,spotify:track:2g8HN35AnVGIk7B8yMucww,,,,,,,,trackdone,trackdone,False,False,False,,False
2022-04-04T16:53:46Z,"Android OS 11 API 30 (TCL, T770B)",253973,CA,130.113.109.216,Ratha Be Ya Nigga (ft. Richie Rich),2Pac,All Eyez On Me,spotify:track:5hzoEKZvvov9EKzrx419Ys,,,,,,,,trackdone,trackdone,False,False,False,,False
2022-04-04T16:58:27Z,"Android OS 11 API 30 (TCL, T770B)",218666,CA,130.113.109.216,Stay Out The Way (feat. Snoop Dogg),Daz Dillinger,West Coast Gangsta Sh*t,spotify:track:693xGvqOaeuxur7BKCznpO,,,,,,,,trackdone,trackdone,False,False,False,,False
2022-04-04T17:01:11Z,"Android OS 11 API 30 (TCL, T770B)",161506,CA,130.113.109.216,The Next Episode,Dr. Dre,2001,spotify:track:4LwU4Vp6od3Sb08CsP99GC,,,,,,,,trackdone,trackdone,False,False,False,,False
2022-04-05T00:15:07Z,web_player windows 10;chrome 99.0.4844.84;desktop,30041,CA,130.113.109.190,Why Won't You Be My Girl?,William Hinson,Why Won't You Be My Girl?,spotify:track:07wuKvvtQW1W0jFLYP653F,,,,,,,,trackdone,unexpected-exit,True,False,False,,False
2022-04-05T00:19:41Z,web_player windows 10;chrome 99.0.4844.84;desktop,197831,CA,130.113.109.164,Heather,Conan Gray,Kid Krow,spotify:track:4xqrdfXkTW4T0RauPLv3WA,,,,,,,,remote,trackdone,False,False,False,,False
2022-04-05T00:29:54Z,web_player windows 10;chrome 99.0.4844.84;desktop,612998,CA,130.113.109.164,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,Red (Taylor's Version),spotify:track:5enxwA8aAbwZbf5qCHORXi,,,,,,,,trackdone,trackdone,True,False,False,,False
2022-04-05T00:30:07Z,web_player windows 10;chrome 99.0.4844.84;desktop,13194,CA,130.113.109.164,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,Red (Taylor's Version),spotify:track:5enxwA8aAbwZbf5qCHORXi,,,,,,,,trackdone,fwdbtn,True,False,False,,False
2022-04-05T00:30:11Z,web_player windows 10;chrome 99.0.4844.84;desktop,2974,CA,130.113.109.164,Ghost Of You,5 Seconds of Summer,Youngblood - Deluxe,spotify:track:1MhXdlCQPnO56T57MfmaRm,,,,,,,,fwdbtn,backbtn,True,False,False,,False
2022-04-05T00:40:24Z,web_player windows 10;chrome 99.0.4844.84;desktop,612815,CA,130.113.109.164,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,Red (Taylor's Version),spotify:track:5enxwA8aAbwZbf5qCHORXi,,,,,,,,backbtn,trackdone,True,False,False,,False
2022-04-05T00:43:42Z,web_player windows 10;chrome 99.0.4844.84;desktop,197238,CA,130.113.109.164,Ghost Of You,5 Seconds of Summer,Youngblood - Deluxe,spotify:track:1MhXdlCQPnO56T57MfmaRm,,,,,,,,trackdone,trackdone,True,False,False,,False
2022-04-05T00:46:31Z,web_player windows 10;chrome 99.0.4844.84;desktop,168380,CA,130.113.109.164,abcdefu,GAYLE,abcdefu,spotify:track:4fouWK6XVHhzl78KzQ1UjL,,,,,,,,trackdone,trackdone,True,False,False,,False
2022-04-05T00:51:20Z,web_player windows 10;chrome 99.0.4844.84;desktop,289491,CA,130.113.109.164,算什麼男人,Jay Chou,哎呦 不錯哦,spotify:track:7vs3JM90lKhp11av83WA5j,,,,,,,,trackdone,trackdone,True,False,False,,False
2022-04-05T00:55:51Z,web_player windows 10;chrome 99.0.4844.84;desktop,269806,CA,130.113.109.164,Un-Break My Heart,Toni Braxton,Secrets,spotify:track:5Ihd9HrPvOADyVoonH9ZjB,,,,,,,,trackdone,trackdone,True,False,False,,False
2022-04-05T00:59:55Z,web_player windows 10;chrome 99.0.4844.84;desktop,243681,CA,130.113.109.164,Astronomy,Conan Gray,Astronomy,spotify:track:0KmgJyW4GDgonqsoyx0CZ3,,,,,,,,trackdone,trackdone,True,False,False,,False
2022-04-05T01:06:06Z,web_player windows 10;chrome 99.0.4844.84;desktop,370791,CA,130.113.109.164,那些年,Hu Xia,那些年，我們一起追的女孩 電影原聲帶,spotify:track:2MwjcKcekaSQyecQVkmGEw,,,,,,,,trackdone,trackdone,True,False,False,,False
2022-04-05T01:10:05Z,web_player windows 10;chrome 99.0.4844.84;desktop,237861,CA,130.113.109.164,Break My Heart Again,FINNEAS,Blood Harmony,spotify:track:7gGBgh0bVxHPgZjA505bo9,,,,,,,,trackdone,trackdone,True,False,False,,False
2022-04-05T01:18:31Z,web_player windows 10;chrome 99.0.4844.84;desktop,705,CA,130.113.109.164,Heather,Conan Gray,Kid Krow,spotify:track:4xqrdfXkTW4T0RauPLv3WA,,,,,,,,remote,fwdbtn,False,False,False,,False
2022-04-05T01:22:34Z,web_player windows 10;chrome 99.0.4844.84;desktop,241810,CA,130.113.109.164,drivers license,Olivia Rodrigo,SOUR,spotify:track:5wANPM4fQCJwkGd4rN57mH,,,,,,,,fwdbtn,trackdone,False,False,False,,False
2022-04-05T01:26:19Z,web_player windows 10;chrome 99.0.4844.84;desktop,224405,CA,130.113.109.164,Save Myself,Ashe,Save Myself,spotify:track:6QDZlGAY1njNqAdOM6PryZ,,,,,,,,trackdone,trackdone,True,False,False,,False
2022-04-05T01:29:12Z,web_player windows 10;chrome 99.0.4844.84;desktop,172839,CA,130.113.109.164,Oye,TINI,Reggaeton Sónico Vol. 1,spotify:track:0sD4txj3eo9vtofZXOhEZW,,,,,,,,trackdone,trackdone,True,False,False,,False
2022-04-05T01:32:27Z,web_player windows 10;chrome 99.0.4844.84;desktop,194968,CA,130.113.109.164,End of the Day,One Direction,Made In The A.M. - Deluxe Edition,spotify:track:5AezhHjX3R1bmxcAEgrFpS,,,,,,,,trackdone,trackdone,True,False,False,,False
2022-04-05T01:38:19Z,web_player windows 10;chrome 99.0.4844.84;desktop,349824,CA,130.113.109.164,オレンジ,7!!,セツナエモーション,spotify:track:1iOQmZULzzkDN1hQZNoDii,,,,,,,,trackdone,trackdone,True,False,False,,False
2022-04-05T02:49:45Z,web_player windows 10;chrome 99.0.4844.84;desktop,6991,CA,130.113.109.164,冬のはなし,ギヴン,gift,spotify:track:3VrKkcEm7RYXBI9RLv7SL7,,,,,,,,trackdone,endplay,True,False,False,,False
2022-04-05T02:52:54Z,web_player windows 10;chrome 99.0.4844.84;desktop,188043,CA,130.113.109.164,Grow,HOAX,Grow,spotify:track:1Q1tGyKNtNYrL6lblUESQK,,,,,,,,playbtn,trackdone,True,False,False,,False
2022-04-05T02:55:50Z,web_player windows 10;chrome 99.0.4844.84;desktop,175378,CA,130.113.109.164,Daydreaming,Marc Wavy,Daydreaming,spotify:track:3gXS1kwhHCpIm6KjpoXWSr,,,,,,,,trackdone,trackdone,True,False,False,,False
2022-04-05T02:59:03Z,web_player windows 10;chrome 99.0.4844.84;desktop,193143,CA,130.113.109.164,as long as you care,Ruel,as long as you care,spotify:track:0GQqQ7dA7B4mcEktSZaOUp,,,,,,,,trackdone,trackdone,True,False,False,,False
2022-04-05T02:59:22Z,web_player windows 10;chrome 99.0.4844.84;desktop,18037,CA,130.113.109.164,小幸運,Hebe Tien,小幸運,spotify:track:1ZeVIrCWzEmsJexkrgvjFv,,,,,,,,trackdone,backbtn,True,False,False,,False
2022-04-05T03:02:35Z,web_player windows 10;chrome 99.0.4844.84;desktop,193176,CA,130.113.109.164,as long as you care,Ruel,as long as you care,spotify:track:0GQqQ7dA7B4mcEktSZaOUp,,,,,,,,backbtn,trackdone,True,False,False,,False
2022-04-05T03:03:02Z,web_player windows 10;chrome 99.0.4844.84;desktop,26469,CA,130.113.109.164,小幸運,Hebe Tien,小幸運,spotify:track:1ZeVIrCWzEmsJexkrgvjFv,,,,,,,,trackdone,fwdbtn,True,False,False,,False
2022-04-05T03:06:10Z,web_player windows 10;chrome 99.0.4844.84;desktop,188155,CA,130.113.109.164,Sofia,Clairo,Immunity,spotify:track:7B3z0ySL9Rr0XvZEAjWZzM,,,,,,,,fwdbtn,trackdone,True,False,False,,False
2022-04-05T03:09:54Z,web_player windows 10;chrome 99.0.4844.84;desktop,222688,CA,130.113.109.164,Intentions,Charlie Burg,"One, Violet",spotify:track:6fLlIJberJNX45w4xlvRUL,,,,,,,,trackdone,trackdone,True,False,False,,False
2022-04-05T03:13:32Z,web_player windows 10;chrome 99.0.4844.84;desktop,217898,CA,130.113.109.164,Electric Love,BØRNS,Dopamine,spotify:track:2GiJYvgVaD2HtM8GqD9EgQ,,,,,,,,trackdone,trackdone,True,False,False,,False
2022-04-05T03:17:27Z,web_player windows 10;chrome 99.0.4844.84;desktop,234977,CA,130.113.109.164,Pancakes for Dinner,Lizzy McAlpine,Give Me A Minute,spotify:track:4HffeEF97c6UxNePgbuECW,,,,,,,,trackdone,trackdone,True,False,False,,False
2022-04-05T03:21:17Z,web_player windows 10;chrome 99.0.4844.84;desktop,229848,CA,130.113.109.164,Pretty Face,PUBLIC,Let's Remake It,spotify:track:07tbYac108weqzeP7Bhwon,,,,,,,,trackdone,trackdone,True,False,False,,False
2022-04-05T03:23:41Z,web_player windows 10;chrome 99.0.4844.84;desktop,143588,CA,130.113.109.164,Love Like You (feat. Rebecca Sugar) - End Credits,Steven Universe,"Steven Universe, Vol. 1 (Original Soundtrack)",spotify:track:3z9OnsnvM6SFN2dzrSDdVO,,,,,,,,trackdone,trackdone,True,False,False,,False
2022-04-05T04:25:50Z,web_player windows 10;chrome 99.0.4844.84;desktop,177822,CA,130.113.109.164,parking lot view,almost monday,parking lot view,spotify:track:3g4o4r0eC0aySaIRNCheL2,,,,,,,,remote,trackdone,True,False,False,,False
2022-04-05T04:28:45Z,web_player windows 10;chrome 99.0.4844.84;desktop,174697,CA,130.113.109.164,Love Grows (Where My Rosemary Goes),Edison Lighthouse,Love Grows (Where My Rosemary Goes) & Other Gems,spotify:track:5Ts1DYOuouQLgzTaisxWYh,,,,,,,,trackdone,trackdone,True,False,False,,False
