ts,platform,ms_played,conn_country,ip_addr,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,audiobook_title,audiobook_uri,audiobook_chapter_uri,audiobook_chapter_title,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
2023-05-19T22:41:27Z,android,206227,CA,99.248.56.116,BOOMBOOM,SEVENTEEN,Seventeen 3rd Mini Album ’Going Seventeen’,spotify:track:0pWxUlYb3EM2WkcTJfwBdP,,,,,,,,trackdone,trackdone,False,False,False,1684535881.0,False
2023-05-19T23:04:22Z,android,113840,CA,99.248.56.116,Sunday In My Bedroom - Remix,B.O.,COMFORT,spotify:track:0nClwn3MZbYCqOcjK7nYdi,,,,,,,,trackdone,logout,False,False,False,1684536088.0,False
2023-05-20T07:56:31Z,android,1484040,CA,198.1.236.226,,,,,The Tortoise and the Hare,Revisionist History,spotify:episode:3cHR9ycq38C9RyqJdTfZZE,,,,,clickrow,fwdbtn,False,True,False,1684567582.0,False
2023-05-20T07:56:33Z,android,0,CA,198.1.236.226,,,,,Tempest in a Teacup,Revisionist History,spotify:episode:0rTLgfFi30kYj9bXm4ns5n,,,,,fwdbtn,fwdbtn,False,True,False,1684569391.0,False
2023-05-20T08:11:47Z,android,309200,CA,209.29.96.32,,,,,Good Old Boys,Revisionist History,spotify:episode:14Ucd3ImeOwBB4znTsfql5,,,,,fwdbtn,logout,False,False,False,1684569392.0,False
2023-05-20T16:34:28Z,android,42780,CA,209.29.96.32,Boulevard of Broken Dreams,Green Day,Boulevard of Broken Dreams,spotify:track:1hwJKpe0BPUsq6UUrwBWTw,,,,,,,,clickrow,logout,True,False,False,1684599748.0,False
2023-05-21T01:32:51Z,android,175997,CA,209.29.96.32,lonely bitch,Bea Miller,lonely bitch,spotify:track:6IaOyzYlT5809ASyUKzDPq,,,,,,,,playbtn,trackdone,True,False,False,1684632596.0,False
2023-05-21T01:36:51Z,android,239011,CA,209.29.96.32,Heart Attack - Rock Version,Demi Lovato,Heart Attack,spotify:track:6qgwX7o1fYLwbikNrddmFo,,,,,,,,trackdone,trackdone,True,False,False,1684632772.0,False
2023-05-21T01:39:17Z,android,145667,CA,209.29.96.32,i'm yours,Isabel LaRosa,i'm yours,spotify:track:37vVp2sWHuuIBOSl1NswP6,,,,,,,,trackdone,trackdone,True,False,False,1684633011.0,False
2023-05-21T01:41:36Z,android,137140,CA,209.29.96.32,dot dot dot,emlyn,dot dot dot,spotify:track:2babNB7t9s2xIlSSoRFaPy,,,,,,,,trackdone,trackdone,True,False,False,1684633157.0,False
2023-05-21T01:44:56Z,android,200440,CA,209.29.96.32,Hate Me,P!nk,TRUSTFALL,spotify:track:6MrYw32izcQ1yzrGqmzPrd,,,,,,,,trackdone,trackdone,True,False,False,1684633295.0,False
2023-05-21T01:47:06Z,android,129938,CA,209.29.96.32,Scatterbrain,Emei,Scatterbrain,spotify:track:5DKcc3WxMwE7JB1IxCrdrs,,,,,,,,trackdone,trackdone,True,False,False,1684633496.0,False
2023-05-21T01:50:27Z,android,199233,CA,209.29.96.32,Sicko (feat. Paycheck & TIMMS),Elliot Lee,Sicko (feat. Paycheck & TIMMS),spotify:track:3NeuyR9x5qZDL9Jwn6fWGL,,,,,,,,trackdone,trackdone,True,False,False,1684633626.0,False
2023-05-21T01:59:50Z,android,136545,CA,209.29.96.32,PainHub,salem ilese,PainHub,spotify:track:4GB5cFlNjLMHWUtr0H0nf3,,,,,,,,trackdone,trackdone,True,False,False,1684633826.0,False
2023-05-21T02:02:36Z,android,164466,CA,209.29.96.32,Happy,Leah Kate,Happy,spotify:track:6DXI5kHhGs2yrWFPFsecm1,,,,,,,,trackdone,trackdone,True,False,False,1684634472.0,False
2023-05-21T02:06:36Z,android,157350,CA,209.29.96.32,Drama King,Bellah Mae,Drama King,spotify:track:4dlGGvKNYl5uC9bwUZfrqa,,,,,,,,trackdone,trackdone,True,False,False,1684634637.0,False
