ts,platform,ms_played,conn_country,ip_addr,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,audiobook_title,audiobook_uri,audiobook_chapter_uri,audiobook_chapter_title,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
2020-05-23T21:04:25Z,"Android OS 7.0 API 24 (LGE, LG-M470)",126464,CA,99.248.35.64,Sunkissed,khai dreams,Now and Then,spotify:track:1tD8J13a74q8fBqXwAP50j,,,,,,,,playbtn,trackdone,False,False,False,,False
2020-05-23T21:06:16Z,"Android OS 7.0 API 24 (LGE, LG-M470)",109966,CA,99.248.35.64,UWU,Chevy,UWU,spotify:track:4aTKyYeIzC0ask2ZJicjIJ,,,,,,,,trackdone,trackdone,False,False,False,,False
2020-05-23T21:08:53Z,"Android OS 7.0 API 24 (LGE, LG-M470)",156120,CA,99.248.35.64,Happy - EP Version,Never Shout Never,The Summer EP,spotify:track:6lkBm0HuGooeS21upFP77i,,,,,,,,trackdone,trackdone,False,False,False,,False
2020-05-23T21:11:57Z,"Android OS 7.0 API 24 (LGE, LG-M470)",184084,CA,99.248.35.64,Lemonade,Jeremy Passion,Thankful,spotify:track:6Jt96y5MkmIH0b3B8t9IbX,,,,,,,,trackdone,trackdone,False,False,False,,False
2020-05-23T21:14:57Z,"Android OS 7.0 API 24 (LGE, LG-M470)",178826,CA,99.248.35.64,No Matter Where You Are,Us The Duo,No Matter Where You Are,spotify:track:2XW4AAjfBQTzp7Oe1tU702,,,,,,,,trackdone,trackdone,False,False,False,,False
2020-05-23T21:19:13Z,"Android OS 7.0 API 24 (LGE, LG-M470)",242186,CA,99.248.35.64,I'm Yours,Jason Mraz,We Sing. We Dance. We Steal Things.,spotify:track:1EzrEOXmMH3G43AXT1y7pA,,,,,,,,trackdone,trackdone,False,False,False,,False
2020-05-23T21:21:42Z,"Android OS 7.0 API 24 (LGE, LG-M470)",149160,CA,99.248.35.64,I Do Adore,Mindy Gledhill,Anchor,spotify:track:6JNEDSev5Tp5VQR04SEBfV,,,,,,,,trackdone,trackdone,False,False,False,,False
2020-05-23T21:25:38Z,"Android OS 7.0 API 24 (LGE, LG-M470)",235493,CA,99.248.35.64,Sugar,Maroon 5,V,spotify:track:2iuZJX9X9P0GKaE93xcPjk,,,,,,,,trackdone,trackdone,False,False,False,,False
2020-05-23T22:07:04Z,"Android OS 7.0 API 24 (LGE, LG-M470)",35616,CA,99.248.35.64,What is Love,TWICE,Summer Nights,spotify:track:1IX47gefluXmKX4PrTBCRM,,,,,,,,trackdone,unexpected-exit-while-paused,False,False,False,,False
2020-05-23T22:45:05Z,"Android OS 7.0 API 24 (LGE, LG-M470)",172625,CA,99.248.35.64,What is Love,TWICE,Summer Nights,spotify:track:1IX47gefluXmKX4PrTBCRM,,,,,,,,appload,trackdone,False,False,False,,False
2020-05-23T22:48:20Z,"Android OS 7.0 API 24 (LGE, LG-M470)",196786,CA,99.248.35.64,La Da Dee,Cody Simpson,Surfers Paradise (Expanded),spotify:track:0ccwMrlZONy5yXrirq7lTe,,,,,,,,trackdone,trackdone,False,False,False,,False
2020-05-23T22:50:50Z,"Android OS 7.0 API 24 (LGE, LG-M470)",143108,CA,99.248.35.64,If I Can't Have You,Shawn Mendes,If I Can't Have You,spotify:track:6LsAAHotRLMOHfCsSfYCsz,,,,,,,,trackdone,logout,False,False,False,,False
