Track Name,Album Name,Artist Name(s),Genres,Duration (ms),Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Song Age
First Sip of Coffee,Vortex,Jobii,"lo-fi beats,lo-fi",147110,38,0.694,0.426,5,-8.516,0,0.0497,0.402,0.919,0.178,0.366,136.011,4,5.363449692
Boarded,Boarded,Sidual.,"lo-fi beats,lo-fi",140823,26,0.531,0.128,1,-9.495,0,0.101,0.885,0.854,0.0922,0.463,140.69,1,5.401779603
Decisions,Decisions,NAGASHI,"lo-fi beats,lo-fi",89030,37,0.444,0.26,11,-19.291,0,0.0695,0.846,0.764,0.375,0.289,112.062,1,6.458590007
Fables,Laika Beat Tape,itsjrad,lo-fi,132022,30,0.818,0.214,1,-16.054,1,0.0463,0.689,0.719,0.114,0.82,80.007,4,5.054072553
Osaka Streets,Osaka Streets,hinako fukushi,lo-fi,128470,27,0.698,0.492,5,-15.017,0,0.153,0.775,0.133,0.0714,0.898,84.802,4,5.215605749
Dusty Conscience,Next Year in Rio,Matt Large,"lo-fi,lo-fi beats",146341,32,0.615,0.436,6,-8.156,1,0.391,0.383,0.896,0.143,0.778,164.385,4,5.28678987
Tokyo,Tokyo,Drevm,"lo-fi beats,lo-fi",101294,31,0.66,0.349,5,-10.519,1,0.281,0.734,0.743,0.0725,0.413,170.43,4,5.256673511
Testing Tubes,Testing Tubes,Praizee,"lo-fi beats,lo-fi",148072,31,0.82,0.139,8,-10.941,1,0.362,0.637,0.776,0.101,0.658,74.993,4,6.138261465
everything,beat tape 10,eevee,"lo-fi,lo-fi beats,j-dance",112892,27,0.656,0.148,8,-11.259,1,0.317,0.936,0.736,0.0984,0.319,78.065,4,5.01026694
Hawaii,Hawaii,Ahe Bane,"lo-fi beats,lo-fi",171000,31,0.816,0.34,11,-9.118,0,0.224,0.89,0.894,0.266,0.15,79.979,4,4.977412731
rendezvous,"Escapades, Vol. 1","Jaeden Camstra,Engelwood","lo-fi,lo-fi beats,jazz beats",99318,40,0.823,0.157,9,-11.679,1,0.0992,0.0968,0.848,0.114,0.63,87.018,4,6.650239562
Golden Hours,Autumn Here,Justnormal,"lo-fi beats,lo-fi",148302,34,0.53,0.175,8,-7.119,0,0.16,0.926,0.114,0.103,0.161,171.1,4,5.45927447
Call Whenever,The Morning After,Psalm Trees,"lo-fi beats,lo-fi,jazz beats",152857,37,0.625,0.44,5,-10.985,1,0.123,0.109,0.114,0.328,0.529,83.993,4,6.140999316
Polar Circle,Polar Circle,Ekfat,lo-fi house,117660,36,0.725,0.152,0,-11.478,1,0.198,0.747,0.682,0.0695,0.451,82.017,4,5.248459959
Dreams,Dreams,A[way],"lo-fi,lo-fi beats",122254,37,0.611,0.363,8,-8.385,1,0.0389,0.693,0.937,0.225,0.191,169.983,4,5.210130048
Nova,Locales,[ocean jams],"lo-fi beats,lo-fi",139032,31,0.82,0.535,0,-5.193,1,0.0356,0.197,0.893,0.11,0.51,162.023,4,5.84257358
Raw Quartet,Raw Quartet,"Cookin Soul,FloFilz","jazz rap,jazz beats,lo-fi beats,lo-fi",182857,30,0.661,0.47,7,-5.195,1,0.0917,0.163,0.329,0.192,0.339,84.024,4,5.292265572
Like Someone in Love,Like Someone in Love,L'Indécis,"lo-fi beats,jazz beats,lo-fi,jazz rap",187860,35,0.726,0.264,9,-10.845,0,0.0799,0.787,0.0319,0.112,0.428,89.863,4,5.470225873
English Breakfast,English Breakfast,Jobii,"lo-fi beats,lo-fi",144000,27,0.796,0.626,5,-6.637,0,0.122,0.0337,0.837,0.107,0.638,80.009,4,6.302532512
Lapis Lazuli,Pocket Full of Crystals: Vol 1,"Sarah, the Illstrumentalist","lo-fi beats,lo-fi",144718,15,0.563,0.341,7,-10.905,0,0.202,0.328,0.394,0.165,0.403,82.873,4,5.555099247
comfy chair,"Escapades, Vol. 1",Jaeden Camstra,"lo-fi,lo-fi beats",97781,36,0.801,0.402,7,-7.866,1,0.26,0.733,0.272,0.158,0.536,81.011,4,6.650239562
in nature,Calm Life,BROCKBEATS,"j-dance,lo-fi,lo-fi beats",111711,19,0.522,0.691,1,-10.257,0,0.453,0.579,0.769,0.135,0.739,169.03,4,7.501711157
Sweev,Sweev,Brenky,"lo-fi,lo-fi beats",138202,35,0.813,0.238,9,-18.114,0,0.0532,0.461,0.888,0.074,0.624,107.987,4,5.029431896
Tsunami Sky,Gaijin,Elijah Nang,"lo-fi,lo-fi beats",227368,32,0.657,0.319,3,-10.257,0,0.0322,0.671,0.868,0.112,0.344,75.994,4,6.165639973
Great Falls,Great Falls,"Low Phil,Andonis",lo-fi beats,137774,29,0.601,0.232,7,-10.277,0,0.0401,0.792,0.332,0.0878,0.112,85.009,4,5.065023956
warm socks,short days,Happy Tobi,"lo-fi beats,lo-fi",81000,24,0.844,0.388,2,-12.849,1,0.207,0.149,0.831,0.053,0.555,79.968,5,5.190965092
Karru,Karru,FloFilz,"jazz rap,jazz beats,lo-fi beats,lo-fi",149015,29,0.764,0.438,10,-8.76,0,0.0614,0.241,0.912,0.106,0.951,173.968,4,5.133470226
Jewelry Remover,Burgundy Blues,Justnormal,"lo-fi beats,lo-fi",163759,29,0.722,0.466,9,-9.503,0,0.192,0.921,0.179,0.0883,0.0911,82.013,4,5.785078713
NEAR,Shinigami,SINY,"lo-fi beats,lo-fi",95255,35,0.776,0.251,8,-8.335,1,0.231,0.834,0.916,0.112,0.606,87.115,4,6.685831622
infamous,infamous,strøget,"lo-fi beats,lo-fi",195000,30,0.446,0.252,10,-12.969,1,0.0469,0.852,0.927,0.134,0.442,159.558,4,5.393566051
Slide,Slide,"Nokiaa,Jade","lo-fi beats,lo-fi",105000,25,0.556,0.116,7,-13.822,0,0.212,0.716,0.921,0.0848,0.843,160.379,4,5.735797399
Pomelo,Dust Blaster,Jobii,"lo-fi beats,lo-fi",129870,31,0.66,0.502,5,-6.574,1,0.066,0.612,0.862,0.119,0.216,81.092,4,4.960985626
armadillo,armadillo,"pucca,Jadu Jadu","lo-fi beats,lo-fi,lo-fi house",105000,36,0.742,0.421,4,-8.574,0,0.0977,0.537,0.897,0.107,0.4,140.028,4,5.190965092
Tamarama Sky,Tamarama Sky,NSW Kenny,lo-fi,96000,23,0.817,0.508,10,-9.034,1,0.075,0.237,0.362,0.119,0.346,79.953,4,5.215605749
quiet,quiet,dcxv,"lo-fi beats,lo-fi",99557,24,0.796,0.332,11,-13.535,1,0.115,0.628,0.863,0.234,0.721,82.03,4,5.733059548
Acoustick,Click Clack,"Guustavv,Jobii","lo-fi beats,lo-fi",118678,19,0.856,0.492,4,-6.614,0,0.15,0.724,0.592,0.09,0.874,140.009,4,5.612594114
Still Trying,Venture,Dylan Sitts,lo-fi,137891,26,0.871,0.316,8,-7.744,1,0.0784,0.169,0.902,0.116,0.123,92.017,4,5.593429158
The Field,Sofa,Ariel T,"lo-fi beats,lo-fi",183600,22,0.618,0.243,6,-16.55,0,0.0752,0.429,0.0889,0.124,0.341,74.976,4,5.681040383
Brick in the Wall,Pol,Guustavv,"lo-fi beats,lo-fi",140281,27,0.77,0.607,7,-6.497,0,0.0481,0.645,0.698,0.163,0.387,142.009,4,5.957563313
Froosh,Froosh,_tag,"lo-fi beats,lo-fi",117577,26,0.863,0.39,8,-9.988,1,0.2,0.573,0.0142,0.224,0.454,75.816,4,7.030800821
Travelling in the Summer,Cruise Control,Kavv,"lo-fi,lo-fi beats,jazz beats",120000,28,0.676,0.287,10,-12.606,0,0.185,0.861,0.0236,0.122,0.466,72.042,4,7.33744011
Water World,Fireflies,KLIM,"lo-fi beats,jazz beats,lo-fi",110235,27,0.53,0.121,1,-11.614,1,0.0481,0.699,0.934,0.101,0.433,79.999,3,7.216974675
On Peets,On Peets,Sidual.,"lo-fi beats,lo-fi",118278,25,0.518,0.442,0,-9.441,0,0.251,0.788,0.904,0.181,0.521,81.987,4,7.030800821
by my side,withdrawn vol.2,".ihaveaface,Pueblo Vista","lo-fi beats,lo-fi",155675,30,0.715,0.277,5,-17.233,0,0.119,0.843,0.714,0.0912,0.308,73.998,4,6.390143737
Venice,Venice,Gyvus,"lo-fi beats,lo-fi,jazz beats,jazz rap",156631,50,0.881,0.561,8,-7.351,1,0.14,0.333,0.88,0.148,0.801,95.011,4,6.778918549
days like this,one last time,Two Sleepy,"lo-fi beats,lo-fi",73170,30,0.788,0.569,10,-5.159,0,0.106,0.21,0.933,0.109,0.858,87.595,4,6.639288159
Villas,Swimmingly,Dylan Sitts,lo-fi,214140,21,0.703,0.414,4,-13.372,1,0.0561,0.475,0.765,0.103,0.137,170.998,4,6.168377823
When the Time Comes,When the Time Comes,Gordon,lo-fi,124485,30,0.717,0.208,6,-17.462,0,0.1,0.931,0.000901,0.228,0.325,81.042,4,6.483230664
in my love,Lunch Time Sleeps,BROCKBEATS,"j-dance,lo-fi,lo-fi beats",137671,33,0.802,0.545,7,-13.427,0,0.256,0.926,0.943,0.112,0.827,172.284,4,7.778234086
winter in rio,Rio,Wun Two,"lo-fi beats,lo-fi",100465,38,0.823,0.577,9,-8.955,1,0.0666,0.477,0.669,0.11,0.785,85.9,4,11.20602327
Autumn Vibes,Autumn Vibes,HideMySoul,"jazz rap,lo-fi beats,boom bap",137142,21,0.615,0.305,0,-13.408,1,0.126,0.838,0.58,0.123,0.65,76.994,4,6.149212868
Mental Acupuncture,Mental Acupuncture,Jazzinuf,"lo-fi,lo-fi beats,jazz beats",152000,42,0.713,0.415,10,-11.179,0,0.0389,0.0274,0.539,0.106,0.642,89.981,4,6.034223135
Way Home,Sofa,Ariel T,"lo-fi beats,lo-fi",238350,29,0.734,0.332,11,-16.253,0,0.102,0.737,0.902,0.0899,0.26,80,4,5.681040383
Inside All Day,Inside All Day,Aso,"lo-fi beats,lo-fi,jazz beats",146000,34,0.67,0.0876,1,-22.869,0,0.215,0.624,0.884,0.104,0.345,84.837,3,7.348391513
Drowsy,Lazy Cuts,trog'low,"lo-fi beats,lo-fi,jazz rap",147986,31,0.59,0.46,2,-11.331,1,0.0409,0.732,0.873,0.24,0.558,75.011,4,6.288843258
Brown Horses,Burgundy Blues,Justnormal,"lo-fi beats,lo-fi",145937,35,0.795,0.317,0,-8.337,1,0.106,0.6,0.882,0.085,0.403,79.998,4,5.785078713
Peppermint,Peppermint,Dylan Sitts,lo-fi,141572,31,0.891,0.458,4,-10.025,0,0.095,0.339,0.925,0.0804,0.135,87.04,4,5.823408624
Spanish Galleon,Pirata (German Edition),Wun Two,"lo-fi beats,lo-fi",54656,30,0.708,0.372,1,-12.721,1,0.114,0.903,0.974,0.115,0.517,71.789,4,5.694729637
Peanut Butter,Peanut Butter,"Fona,Styn","lo-fi beats,lo-fi",61753,30,0.661,0.0735,2,-22.933,1,0.0358,0.95,0.724,0.0926,0.562,69.982,4,5.943874059
I'd Rather Sleep,Need To Breathe,Smartface,"lo-fi beats,lo-fi",139279,30,0.766,0.377,1,-12.847,0,0.0586,0.655,0.865,0.0991,0.872,80.984,4,6.360027379
Vibes,Noir,This Is Tomorrow,jazz rap,208612,15,0.557,0.171,10,-19.526,0,0.0579,0.104,0.882,0.125,0.326,86.951,4,8.344969199
Derive,Clairvoyance,Jobii,"lo-fi beats,lo-fi",133339,32,0.648,0.35,0,-10.967,0,0.0481,0.91,0.775,0.0717,0.0632,84.039,4,5.11430527
Uber Black,Uber Black,"Dontcry,Glimlip,Yasper","lo-fi,lo-fi beats,jazz beats",145555,29,0.881,0.25,7,-9.014,0,0.069,0.351,0.432,0.117,0.58,81.062,4,5.2183436
Ananke,Delphinus,NK Music,"jazz beats,lo-fi,lo-fi beats",320014,37,0.774,0.21,7,-12.418,0,0.044,0.752,0.904,0.124,0.279,77.986,4,5.259411362
Rising Air,Rising Air,LisaMadeIt,lo-fi,144000,24,0.783,0.502,5,-9.279,1,0.113,0.388,0.838,0.0912,0.604,79.985,4,5.215605749
sky to you,sky to you,"luvwn,flowsum","lo-fi,lo-fi beats",89302,27,0.632,0.252,11,-12.342,0,0.0589,0.95,0.796,0.115,0.745,171.777,4,6.475017112
Summer Rain,Float,[ocean jams],"lo-fi beats,lo-fi",128884,33,0.882,0.637,6,-4.38,0,0.0475,0.605,0.787,0.0999,0.587,82.018,4,6.455852156
Pizza,Pizza,Statistix,"lo-fi beats,lo-fi",212078,32,0.842,0.29,11,-12.099,0,0.121,0.228,0.904,0.114,0.405,79.985,4,6.442162902
drifting.,drifting.,"frad,Elijah Lee",lo-fi,142962,35,0.686,0.265,7,-20.686,1,0.0681,0.772,0.0207,0.138,0.686,81.049,4,6.067077344
Anybody Have a Map?,Dear Evan Hansen (Original Broadway Cast Recording),"Rachel Bay Jones,Jennifer Laura Thompson",musicals,146853,58,0.634,0.603,7,-6.374,1,0.258,0.234,0,0.536,0.744,107.768,4,8.161533196
Waving Through A Window,Dear Evan Hansen (Original Broadway Cast Recording),"Ben Platt,Original Broadway Cast of Dear Evan Hansen",musicals,236360,63,0.549,0.705,9,-5.563,1,0.0564,0.316,0,0.12,0.52,146.024,4,8.161533196
For Forever,Dear Evan Hansen (Original Broadway Cast Recording),Ben Platt,musicals,301013,59,0.371,0.457,5,-7.674,1,0.0407,0.222,0,0.0882,0.166,96.269,4,8.161533196
"Sincerely, Me",Dear Evan Hansen (Original Broadway Cast Recording),"Mike Faist,Ben Platt,Will Roland",musicals,222960,62,0.677,0.731,7,-5.708,1,0.12,0.168,0,0.103,0.603,97.864,4,8.161533196
Requiem,Dear Evan Hansen (Original Broadway Cast Recording),"Laura Dreyfuss,Michael Park,Jennifer Laura Thompson",musicals,259693,55,0.409,0.404,4,-6.517,1,0.0285,0.446,0,0.132,0.288,80.356,4,8.161533196
Disappear,Dear Evan Hansen (Original Broadway Cast Recording),"Mike Faist,Ben Platt,Kristolyn Lloyd,Will Roland,Jennifer Laura Thompson,Original Broadway Cast of Dear Evan Hansen",musicals,275813,53,0.451,0.634,8,-6.65,1,0.118,0.379,0,0.226,0.298,136.643,4,8.161533196
You Will Be Found,Dear Evan Hansen (Original Broadway Cast Recording),"Ben Platt,Kristolyn Lloyd,Will Roland,Laura Dreyfuss,Original Broadway Cast of Dear Evan Hansen",musicals,360906,62,0.293,0.624,9,-7.13,1,0.0613,0.0865,0,0.0874,0.213,87.335,4,8.161533196
To Break In a Glove,Dear Evan Hansen (Original Broadway Cast Recording),"Michael Park,Ben Platt",musicals,230813,48,0.652,0.423,7,-8.659,1,0.446,0.203,0,0.111,0.426,108.491,4,8.161533196
Only Us,Dear Evan Hansen (Original Broadway Cast Recording),"Laura Dreyfuss,Ben Platt",musicals,227186,55,0.467,0.346,1,-7.029,1,0.0271,0.707,0,0.102,0.243,69.006,4,8.161533196
Good For You,Dear Evan Hansen (Original Broadway Cast Recording),"Rachel Bay Jones,Kristolyn Lloyd,Will Roland,Ben Platt",musicals,185146,56,0.627,0.709,3,-4.692,1,0.0726,0.175,0,0.242,0.791,107.802,4,8.161533196
Words Fail,Dear Evan Hansen (Original Broadway Cast Recording),Ben Platt,musicals,351920,53,0.368,0.237,0,-9.49,1,0.0389,0.792,0,0.122,0.328,95.871,3,8.161533196
So Big / So Small,Dear Evan Hansen (Original Broadway Cast Recording),Rachel Bay Jones,musicals,252266,50,0.447,0.2,7,-9.536,1,0.0423,0.806,0,0.108,0.28,88.189,4,8.161533196
Finale,Dear Evan Hansen (Original Broadway Cast Recording),"Ben Platt,Original Broadway Cast of Dear Evan Hansen",musicals,95960,47,0.423,0.0919,5,-10.343,1,0.0353,0.837,0,0.0931,0.414,112.831,4,8.161533196
Dark Wood,Seasonal Expression,Justnormal,"lo-fi beats,lo-fi",129344,34,0.724,0.24,6,-13.317,1,0.275,0.822,0.415,0.115,0.461,173.945,4,5.84257358
Romantique,Cycles,Kazam,"lo-fi beats,jazz beats,lo-fi,jazz house",166956,33,0.638,0.296,5,-14.491,1,0.0533,0.694,0.113,0.315,0.292,80.526,4,3.159479808
Green,Green,Mun$,lo-fi,111028,31,0.517,0.392,5,-11.933,0,0.0773,0.948,0.95,0.137,0.697,160.394,4,5.393566051
nomads of the sea,mudflat hikers,santpoort,"lo-fi beats,lo-fi",145075,31,0.796,0.341,9,-15.105,0,0.148,0.919,0.333,0.121,0.603,146.021,4,6.614647502
Pacific Parc,Pacific Parc,"Fona,Styn","lo-fi beats,lo-fi",101955,32,0.664,0.236,0,-16.08,1,0.043,0.878,0.856,0.0819,0.315,73.017,3,5.921971253
Guido,Coloured Roots,damaa.beats,"lo-fi beats,lo-fi,jazz beats",180186,24,0.84,0.36,8,-12.875,1,0.391,0.846,0.802,0.0885,0.45,78.973,4,6.628336756
I Won't Let Go,I Won't Let Go,Ninjoi.,"lo-fi beats,lo-fi",148571,25,0.646,0.56,10,-7.232,0,0.0317,0.21,0.481,0.156,0.406,84.033,4,7.386721424
Sunsets,Endless Sunday Vol. 1,Aso,"lo-fi beats,lo-fi,jazz beats",177312,36,0.652,0.265,9,-17.225,1,0.295,0.925,0.943,0.114,0.425,82.994,4,4.629705681
Chilled.,Chilled.,SPEECHLESS,"lo-fi,lo-fi beats",94610,38,0.733,0.498,10,-8.528,1,0.333,0.948,0.81,0.0888,0.661,85.063,4,6.581793292
waves,Waves,notliam.,lo-fi,59677,22,0.831,0.445,5,-12.385,1,0.496,0.621,0.966,0.123,0.361,186.098,4,6.551676934
the world was ours,the world was ours,"Kupla,less.people","lo-fi,lo-fi beats",137423,25,0.674,0.378,0,-8.067,0,0.0646,0.763,0.481,0.2,0.183,86.015,4,6.480492813
Crystal Ship,Dreams of Dawn,soder.,lo-fi,95524,34,0.642,0.696,8,-11.218,0,0.0393,0.95,0.0202,0.176,0.615,87.024,4,6.36550308
Marco,The Beatpatch,"Cold Frame,Gordon",lo-fi,124236,28,0.419,0.159,6,-24.976,0,0.0371,0.97,0.928,0.0979,0.541,173.841,4,6.762491444
Airtime,Airtime,Omaure,"lo-fi beats,lo-fi",70505,38,0.634,0.65,5,-13.163,1,0.123,0.454,0.947,0.103,0.774,177.874,4,6.551676934
Jeux D’eau,Chillhop Daydreams,sadtoi,"lo-fi beats,lo-fi,jazz beats",144000,32,0.779,0.23,0,-16.382,1,0.457,0.848,0.0254,0.683,0.258,73.51,4,6.652977413
Summertime,Summertime,Musqitone,"lo-fi beats,lo-fi",113250,27,0.775,0.396,9,-11.987,0,0.0886,0.381,0.908,0.113,0.63,140.05,3,5.938398357
busking,busking,_tag,"lo-fi beats,lo-fi",140714,36,0.622,0.0701,0,-13.016,1,0.0421,0.495,0.911,0.102,0.247,77.065,4,6.138261465
Excursion,Swimmingly,Dylan Sitts,lo-fi,153684,28,0.831,0.444,4,-9.945,0,0.0446,0.44,0.319,0.0659,0.305,113.923,4,6.168377823
Schoen,Lava,"Estugarda,kolor","lo-fi,lo-fi beats",112108,31,0.707,0.184,7,-13.919,1,0.0761,0.849,0.888,0.113,0.197,78.024,4,7.16495551
Frigid,Cycles,"Allem Iversom,goosetaf","lo-fi,lo-fi beats",61538,30,0.685,0.234,6,-11.899,1,0.45,0.749,0.921,0.103,0.785,77.85,4,6.628336756
Depiction,Depiction,Wenzel,lo-fi,118153,38,0.595,0.285,11,-14.36,0,0.0372,0.974,0.948,0.146,0.302,130.004,3,6.179329227
Touching Skin,Lights,High John,"lo-fi beats,jazz beats,lo-fi,jazz rap",86982,23,0.579,0.202,11,-8.148,0,0.0334,0.888,0.892,0.114,0.166,79.978,4,6.636550308
The Writer,Easy Feet,Smartface,"lo-fi beats,lo-fi",99759,28,0.865,0.338,0,-9.212,1,0.219,0.881,0.83,0.368,0.773,83.048,4,6.877481177
Paths,Paths,N.Musicbeatz,lo-fi,167384,30,0.812,0.126,7,-13.783,0,0.283,0.876,0.408,0.0622,0.589,76.082,4,6.151950719
For You,High+,"High John,Plusma","lo-fi beats,jazz beats,lo-fi,jazz rap",132222,14,0.703,0.257,1,-13.176,0,0.157,0.128,0.868,0.102,0.304,121.715,3,6.135523614
Scootaloo,Sheep Rotation,Jobii,"lo-fi beats,lo-fi",147110,32,0.731,0.424,7,-6.664,0,0.259,0.36,0.000834,0.19,0.604,84.995,4,6.015058179
Early Bird,Early Bird,Ariel T,"lo-fi beats,lo-fi",192027,10,0.53,0.337,0,-15.319,1,0.19,0.0988,0.543,0.0957,0.442,129.338,1,5.388090349
Never Again,Never Again,Nokiaa,"lo-fi beats,lo-fi",84000,26,0.799,0.329,1,-14.381,0,0.223,0.929,0.669,0.0982,0.439,79.945,4,6.611909651
Magua.,Magua.,Mora,"lo-fi beats,lo-fi,nu jazz",126757,23,0.592,0.37,6,-10.93,1,0.392,0.779,0.526,0.124,0.713,79.823,4,7.069130732
My Love,Memories,"Kupla,j'san","lo-fi,lo-fi beats",162181,37,0.601,0.31,2,-13.843,0,0.0354,0.889,0.911,0.115,0.156,76.889,4,6.554414784
gone,gone,mr_slace,"lo-fi beats,lo-fi",121258,23,0.807,0.298,5,-12.322,0,0.102,0.653,0.907,0.918,0.537,156.003,4,5.960301164
soupeddd!,Inaudible,"mommy,Philanthrope,weird inside","lo-fi beats,lo-fi,jazz beats",189000,27,0.683,0.268,5,-13.594,1,0.104,0.707,0.852,0.1,0.546,75.012,4,6.36550308
The Finish Line,The Finish Line,"Middle School,Mitchel Forman","lo-fi beats,jazz beats,lo-fi,jazz fusion,smooth jazz",195096,29,0.594,0.251,6,-13.071,1,0.0435,0.776,0.805,0.0987,0.139,89.975,4,5.757700205
Nothingness,A Way of Existing,"Kanisan,no one's perfect","lo-fi,lo-fi beats",178865,33,0.632,0.133,3,-18.322,0,0.0321,0.971,0.892,0.413,0.0865,99.983,4,4.919917864
crush on you,Gentle Boy,Elijah Who,"lo-fi,lo-fi beats",84030,43,0.605,0.175,1,-14.075,1,0.318,0.866,1.12E-06,0.24,0.439,139.72,4,7.509924709
Slice of Life,Chillhop Essentials Spring 2019,"Gas Lab,Flitz&Suppe","lo-fi beats,jazz beats,jazz rap,lo-fi",160000,26,0.716,0.247,5,-17.751,1,0.0449,0.298,0.884,0.382,0.147,84.009,4,6.039698836
Glow,old sh*t,Xori,j-dance,153600,28,0.375,0.128,5,-24.428,0,0.0428,0.769,0.804,0.139,0.0399,108.473,3,6.173853525
Berlin,Skylines,Sebastian Kamae,"lo-fi,lo-fi beats",173913,46,0.689,0.227,2,-9.522,1,0.0418,0.893,0.656,0.11,0.424,138.039,5,2.414784394
passersby,bed / moon,Sleepy Fish,"lo-fi beats,lo-fi,jazz beats",105189,16,0.718,0.0418,11,-19.431,0,0.342,0.846,0.943,0.194,0.392,79.012,4,6.22587269
II,II,"_houseplants,Arbour","lo-fi,lo-fi beats",92054,13,0.827,0.376,10,-9.514,1,0.147,0.809,0.942,0.176,0.52,73.002,1,6.228610541
Distant Travels,Distant Travels,Smeyeul.,"lo-fi beats,lo-fi",156500,24,0.656,0.243,5,-12.126,1,0.131,0.438,0.889,0.117,0.436,80.007,4,6.428473648
Outdoors,Old Growth,"leaf beach,dcxv","lo-fi beats,lo-fi,jazz beats",92058,19,0.775,0.276,4,-9.899,0,0.349,0.037,0.85,0.328,0.706,170.261,4,6.015058179
Love Is,Sundae Sauuce Presents: Morning Gelato,"Aso,Hopes","lo-fi beats,lo-fi,jazz beats",138316,32,0.681,0.354,5,-10.298,0,0.284,0.874,0.942,0.106,0.259,157.896,4,7.017111567
Pale Moon,2 Am. Study Session,"Dr. Dundiff,Allem Iversom","jazz beats,lo-fi,lo-fi beats",211347,38,0.7,0.172,0,-17.016,1,0.124,0.901,0.937,0.117,0.0378,82.453,4,5.00752909
straight from the heart,Surface Waves,"goosetaf,Fushou.","lo-fi,lo-fi beats",101300,15,0.789,0.501,8,-9.948,1,0.313,0.83,0.0653,0.116,0.259,151.544,3,7.534565366
Torii,2 Am. Study Session,Fatb,"lo-fi,lo-fi beats",120521,41,0.622,0.264,8,-11.648,0,0.0441,0.769,0.895,0.112,0.0612,160.02,4,5.00752909
Satellite Nights,Satellite Nights,drkmnd,"lo-fi,lo-fi beats",192039,52,0.667,0.409,6,-7.509,0,0.0686,0.867,0.817,0.122,0.0954,79.986,4,5.174537988
Memories,Chillhop Essentials Fall 2017,Sugi.wa,"lo-fi,lo-fi beats",110031,44,0.825,0.21,0,-9.129,1,0.115,0.185,0.912,0.109,0.505,80.443,4,7.482546201
Fall in Love - Skit,Bei aller Liebe (Deluxe Version),Dramadigs,vaporwave,92598,14,0.689,0.291,8,-8.341,0,0.0416,0.779,0.843,0.0991,0.316,83.03,4,10.9596167
Flower,Escapade,Swørn,"lo-fi beats,lo-fi,jazz beats",162066,33,0.555,0.233,0,-9.782,0,0.0675,0.93,0.935,0.0979,0.118,79.981,4,6.064339493
First Wonder,Chillhop Essentials Summer 2018,"j'san,Cloudchord","lo-fi,lo-fi beats,jazz beats",168750,30,0.809,0.427,11,-10.081,0,0.0405,0.74,0.418,0.109,0.627,89.999,4,6.787132101
Attila,Chillhop Essentials Spring 2017,Mono:Massive,"lo-fi beats,lo-fi,jazz rap,jazz beats",147977,41,0.814,0.325,9,-7.958,0,0.0567,0.296,0.919,0.117,0.605,87.026,4,8.052019165
The Places We Used to Walk,1 Am. Study Session,"Rook1e,tender spring","lo-fi,lo-fi beats",135807,43,0.659,0.48,1,-8.316,0,0.0444,0.947,0.657,0.107,0.0409,130.375,4,5.319644079
Swix,Chillhop Essentials Spring 2018,HM Surf,"lo-fi,lo-fi beats",115324,28,0.848,0.338,3,-15.497,0,0.291,0.454,0.45,0.263,0.648,77.029,4,7.036276523
Lucid,3 Am. Study Session,"Sebastian Kamae,Intoku","lo-fi,lo-fi beats",132705,38,0.492,0.0795,8,-22.208,1,0.0485,0.975,0.628,0.13,0.442,85.026,4,4.553045859
Backpack City,Ages Ago,"Flovry,tender spring","lo-fi,lo-fi beats",151731,48,0.636,0.197,9,-15.365,1,0.0768,0.879,0.877,0.109,0.127,77.202,4,5.352498289
Sunlite,Stray,chief.,"lo-fi,lo-fi beats",99871,19,0.663,0.238,6,-12.096,0,0.212,0.819,0.93,0.0867,0.163,96.401,5,6.907597536
Coolin',Coolin',S-ilo,"lo-fi,lo-fi beats",153678,18,0.648,0.218,6,-16.089,0,0.0374,0.884,0.907,0.0988,0.144,99.899,4,6.965092402
Valley,Mind Garden,Leavv,"lo-fi beats,lo-fi,jazz beats",189792,35,0.563,0.164,0,-16.448,0,0.0402,0.645,0.893,0.103,0.0504,82.996,4,6.576317591
If It Moves,If It Moves,Michael Michaelson,"lo-fi beats,lo-fi",98778,33,0.712,0.176,3,-18.399,1,0.0353,0.787,0.886,0.111,0.115,119.972,4,4.90349076
icy.tears,Love Story,ocha,"j-dance,lo-fi beats,lo-fi",216000,30,0.714,0.393,4,-15.336,1,0.0497,0.737,0.877,0.0614,0.298,160.323,4,6.209445585
Alive,Alive,Ouska,"lo-fi beats,lo-fi",146976,40,0.675,0.307,2,-11.206,1,0.0327,0.779,0.833,0.115,0.381,128.991,4,6.160164271
Saffron and Green Tea,Saffron and Green Tea,Ibrahim,lo-fi,213968,31,0.786,0.378,0,-11.589,1,0.0423,0.642,0.93,0.106,0.491,121.884,3,7.069130732
Her,Her,"Kendall Miles,a l e x","lo-fi,lo-fi beats",166500,39,0.546,0.125,0,-18.528,1,0.0422,0.912,0.897,0.11,0.458,172.009,5,7.737166324
she looked like art,parting ways,Slowheal,"lo-fi beats,lo-fi",135007,19,0.76,0.149,0,-11.614,1,0.0827,0.969,0.922,0.152,0.508,80.01,4,6.893908282
